By-election	Date	Incumbent	PartyOld	Winner	PartyNew	Cause
Bradford South	8 December 1949	Meredith Titterington	Labour	George Craddock	Labour	Death
Leeds West	21 July 1949	Thomas Stamford	Labour	Charles Pannell	Labour	Death (suicide)
Sowerby	16 March 1949	John Belcher	Labour	Douglas Houghton	Labour	Resignation (scandal)
St Pancras North	10 March 1949	George House	Labour	Kenneth Robinson	Labour	Death
Hammersmith South	24 February 1949	William Thomas Adams	Labour	Thomas Williams	Labour	Death
Batley and Morley	17 February 1949	Hubert Beaumont	Labour	Alfred Broughton	Labour	Death
Glasgow Hillhead	25 November 1948	James Reid	Conservative	Thomas Galbraith	Conservative	Law life peerage on appointment as Lord of Appeal in Ordinary
Edmonton	13 November 1948	Evan Durbin	Labour	Austen Albu	Labour	Death (drowned in swimming accident)
Stirling and Falkirk	7 October 1948	Joseph Westwood	Labour	Malcolm Macpherson	Labour	Death (road accident)
Glasgow Gorbals	30 September 1948	George Buchanan	Labour	Alice Cullen	Labour	Chairman of National Assistance Board
Southwark Central	29 April 1948	John Hanbury Martin	Labour	Roy Jenkins	Labour	Resignation
Brigg	24 March 1948	Thomas Williamson	Labour	Lance Mallalieu	Labour	Resignation
Croydon North	11 March 1948	Henry Willink	Conservative	Fred Harris	Conservative	Master of Magdalene College, Cambridge
Armagh	5 March 1948	Sir William Allen	UUP	James Harden	UUP	Death (road accident)
Wigan	4 March 1948	William Foster	Labour	Ronald Williams	Labour	Death
Paisley	18 February 1948	Viscount Corvedale	Labour	Douglas Johnston	Labour	Succession to the peerage
Glasgow Camlachie	28 January 1948	Campbell Stephen	Ind. Labour Party/Labour Party	Charles McFarlane	Conservative	Death
Epsom	4 December 1947	Sir Archibald Southby, Bt	Conservative	Malcolm McCorquodale	Conservative	Resignation
Howdenshire	27 November 1947	Clifford Glossop	Conservative	George Odey	Conservative	Resignation
Edinburgh East	27 November 1947	George Thomson	Labour	John Wheatley	Labour	Appointment as Lord Justice Clerk
Gravesend	26 November 1947	Garry Allighan	Labour	Sir Richard Acland	Labour	Expelled from the House (found to be in extreme contempt)
Islington West	25 September 1947	Frederick Montague	Labour	Albert Evans	Labour	Appointment to hereditary peerage
Liverpool Edge Hill	11 September 1947	Richard Clitherow	Labour	Arthur Irvine	Labour	Death (overdose)
Jarrow	7 May 1947	Ellen Wilkinson	Labour	Ernest Fernyhough	Labour	Death (overdose)
Normanton	11 February 1947	Tom Smith	Labour	George Sylvester	Labour	Labour Director of North East Coal Board
Kilmarnock	5 December 1946	Clarice Shaw	Labour	William Ross	Labour	Resignation due to ill health
Aberdare	5 December 1946	George Hall	Labour	David Thomas	Labour	Elevation to hereditary peerage
Combined Scottish Universities	27 November 1946	Sir John Boyd-Orr	Independent	Walter Elliot	Conservative	Appointment as Chancellor of the University of Glasgow
Aberdeen South	26 November 1946	Sir Douglas Thomson	Conservative	Lady Tweedsmuir	Conservative	Resignation
Paddington North	20 November 1946	Sir Noel Mason-Macfarlane	Labour	William J. Field	Labour	Resignation
Rotherhithe	19 November 1946	Sir Benjamin Smith	Labour	Robert Mellish	Labour	Chairman of West Midlands Coal Board
Glasgow Bridgeton	29 August 1946	James Maxton	Ind. Labour Party	James Carmichael	Ind. Labour Party	Death
Battersea North	25 July 1946	Francis Douglas	Labour	Douglas Jay	Labour	Governor of Malta
Pontypool	23 July 1946	Arthur Jenkins	Labour	Daniel West	Labour	Death
Bexley	22 July 1946	Jennie Adamson	Labour	Ashley Bramall	Labour	Deputy Chairman of Assistance Board
Down	6 June 1946	James Little	Independent Ulster Unionist	C. H. Mullan	UUP	Death
Ogmore	4 June 1946	Edward Williams	Labour	John Evans	Labour	Australian High Commissioner
Combined English Universities	18 March 1946	Eleanor Rathbone	Independent	Henry Strauss	Conservative	Death
Hemsworth	22 February 1946	George Griffiths	Labour	Horace Holmes	Labour	Death
Heywood and Radcliffe	21 February 1946	John Edmondson Whittaker	Labour	Anthony Greenwood	Labour	Death (suicide)
Glasgow Cathcart	12 February 1946	Francis Beattie	Conservative	John Henderson	Conservative	Death (road accident)
South Ayrshire	7 February 1946	Alexander Sloan	Labour	Emrys Hughes	Labour	Death
Preston	31 January 1946	John Sunderland	Labour	Edward Shackleton	Labour	Death
Tottenham North	13 December 1945	Robert Morrison	Labour	William Irving	Labour	Elevation to hereditary peerage
Kensington South	20 November 1945	Sir William Davison	Conservative	Richard Law	Conservative	Elevation to hereditary peerage
Bournemouth	15 November 1945	Sir Leonard Lyle	Conservative	Brendan Bracken	Conservative	Elevation to hereditary peerage
Bromley	14 November 1945	Edward Campbell	Conservative	Harold Macmillan	Conservative	Death
City of London	31 October 1945	George Broadbridge	Conservative	Ralph Assheton	Conservative	Elevation to hereditary peerage
Monmouth	31 October 1945	Leslie Pym	Conservative	Peter Thorneycroft	Conservative	Death
Edinburgh East	3 October 1945	Frederick Pethick-Lawrence	Labour	George Thomson	Labour	Elevation to hereditary peerage
Ashton-under-Lyne	2 October 1945	Sir William Jowitt	Labour	Hervey Rhodes	Labour	Hereditary Peerage on appointment as Lord High Chancellor of Great Britain
Smethwick	1 October 1945	Alfred Dobbs	Labour	Patrick Gordon Walker	Labour	Death (road accident)
Newport	17 May 1945	Reginald Clarry	Conservative	Ronald Bell	Conservative	Death
Neath	15 May 1945	William Jenkins	Labour	D. J. Williams	Labour	Death
Middlesbrough West	14 May 1945	Harcourt Johnstone	Liberal	Don Bennett	Liberal	Death
Caernarvon Boroughs	26 April 1945	David Lloyd George	Liberal	Seaborne Davies	Liberal	Elevation to the peerage
Chelmsford	26 April 1945	John Macnamara	Conservative	Ernest Millington	Common Wealth	Death (active service)
Combined Scottish Universities	13 April 1945	George Morrison	Liberal National	John Boyd-Orr	Independent	Resignation
Motherwell	12 April 1945	James Walker	Labour	Robert McIntyre	SNP	Death (road accident)
Berwick-upon-Tweed	17 October 1944	George Charles Grey	Liberal	William Beveridge	Liberal	Death (active service)
Chelsea	11 October 1944	Samuel Hoare	Conservative	William Sidney	Conservative	Elevation to the peerage
Bilston	20 September 1944	Ian Hannah	Conservative	William Gibbons	Conservative	Death
Manchester Rusholme	8 July 1944	Edmund Radford	Conservative	Frederick Cundiff	Conservative	Death
Clay Cross	14 April 1944	George Ridley	Labour	Harold Neal	Labour	Death
Camberwell North	30 March 1944	Charles Ammon	Labour	Cecil Manning	Labour	Elevation to the peerage
Bury St Edmunds	29 February 1944	Frank Heilgers	Conservative	Edgar Keatinge	Conservative	Death (train crash)
Sheffield Attercliffe	21 February 1944	Cecil Wilson	Labour	John Hynd	Labour	Resignation (ill health)
Kirkcaldy Burghs	17 February 1944	Thomas Kennedy	Labour	Thomas Hubbard	Labour	Resignation (ill-health)
West Derbyshire	17 February 1944	Henry Hunloke	Conservative	Charles Frederick White	Independent	Resignation
Brighton	3 February 1944	Sir Cooper Rawson	Conservative	William Teeling	Conservative	Resignation (ill-health)
Skipton	7 January 1944	George William Rickards	Conservative	Hugh Lawson	Common Wealth	Death
Acton	14 December 1943	Hubert Duggan	Conservative	Henry Longhurst	Conservative	Death (active service)
Darwen	12 December 1943	Stuart Russell	Conservative	Stanley Prescott	Conservative	Death (active service)
Consett	15 November 1943	David Adams	Labour	James Glanville	Labour	Death
Woolwich West	7 November 1943	Kingsley Wood	Conservative	Francis Beech	Conservative	Death
Peterborough	15 October 1943	David Cecil	Conservative	John Hely-Hutchinson	Conservative	Appointment as Governor of Bermuda
St Albans	5 October 1943	Francis Fremantle	Conservative	John Grimston	Conservative	Death
Chippenham	24 August 1943	Victor Cazalet	Conservative	David Eccles	Conservative	Death (active service)
Burton-on-Trent	2 July 1943	John Gretton	Conservative	John Gretton	Conservative	Resignation (ill-health)
Birmingham Aston	9 June 1943	Edward Kellett	Conservative	Redvers Prior	Conservative	Death (active service)
Newark	8 June 1943	William Cavendish-Bentinck	Conservative	Sidney Shephard	Conservative	Succession to the peerage
The Hartlepools	1 June 1943	William George Howard Gritten	Conservative	Thomas George Greenwell	Conservative	Death
