constituency	name	party
Aberavon	William Cove	Labour
Aberdare	George Hall	Labour
Aberdeen North	Hector Hughes	Labour
Aberdeen South	Sir Douglas Thomson, Bt	Scottish Unionist
Aberdeenshire Central	Henry Spence	Scottish Unionist
Aberdeenshire East	Robert Boothby	Scottish Unionist
Aberdeenshire West and Kincardine	Colin Thornton-Kemsley	Scottish Unionist
Abertillery	George Daggar	Labour
Abingdon	Sir Ralph Glyn, Bt	Conservative
Accrington	Walter Scott-Elliot	Labour
Acton	Joseph Sparks	Labour
Aldershot	Oliver Lyttelton	Conservative
Altrincham and Sale	Frederick Erroll	Conservative
Anglesey	Lady Megan Lloyd George	Liberal
Antrim 	Hon. Sir Hugh O'Neill	Ulster Unionist
Antrim 	Samuel Gillmor Haughton	Ulster Unionist
Argyllshire	Duncan McCallum	Conservative
Armagh	Sir William Allen	Ulster Unionist
Ashford	Edward Percy Smith	Conservative
Ashton-under-Lyne	Sir William Jowitt	Labour
Aylesbury	Sir Stanley Reed	Conservative
Ayr Burghs	Thomas Moore	Scottish Unionist
Ayrshire North and Bute	Sir Charles MacAndrew	Scottish Unionist
Ayrshire South	Alexander Sloan	Labour
Balham and Tooting	Richard Adams	Labour
Banbury	Douglas Dodds-Parker	Conservative
Banff	Sir William Duthie	Conservative
Barking	Somerville Hastings	Labour
Barkston Ash	Leonard Ropner	Conservative
Barnard Castle	Sydney Lavers	Labour
Barnet	Stephen Taylor	Labour
Barnsley	Frank Collindridge	Labour
Barnstaple	Christopher Peto	Conservative
Barrow-in-Furness	Walter Monslow	Labour
Basingstoke	Patrick Donner	Conservative
Bassetlaw	Frederick Bellenger	Labour
Bath	James Pitman	Conservative
Batley and Morley	Hubert Beaumont	Labour
Battersea North	Francis Douglas	Labour
Battersea South	Caroline Ganley	Labour Co-op
Bedford	Thomas Skeffington-Lodge	Labour
Bedfordshire Mid	Alan Lennox-Boyd	Conservative
Bedwellty	Sir Charles Edwards	Labour
Belfast, East	Thomas Loftus Cole	Ulster Unionist
Belfast, North	William Frederick Neill	Ulster Unionist
Belfast, South	Conolly Gage	Ulster Unionist
Belfast, West	Jack Beattie	Northern Ireland Labour
Belper	George Brown	Labour
Bermondsey West	Richard Sargood	Labour
Berwick and Haddington	John Robertson	Labour
Berwick-on-Tweed	Robert Thorp	Conservative
Bethnal Green North-East	Daniel Chater	Labour Co-op
Bethnal Green South-West	Percy Holman	Labour Co-op
Bewdley	Roger Conant	Conservative
Bexley	Jennie Adamson	Labour
Birkenhead East	Frank Soskice	Labour
Birkenhead West	Percy Collick	Labour
Birmingham Acock's Green	Henry Usborne	Labour
Birmingham Aston	Woodrow Wyatt	Labour
Birmingham Deritend	Fred Longden	Labour Co-op
Birmingham Duddeston	Edith Wills	Labour Co-op
Birmingham Edgbaston	Sir Peter Bennett	Conservative
Birmingham Erdington	Julius Silverman	Labour
Birmingham Handsworth	Harold Roberts	Conservative
Birmingham King's Norton	Raymond Blackburn	Labour
Birmingham Ladywood	Victor Yates	Labour
Birmingham Moseley	Sir Patrick Hannon	Conservative
Birmingham Sparkbrook	Percy Shurmer	Labour
Birmingham West	Charles Simmons	Labour
Birmingham Yardley	Wesley Perrins	Labour
Bishop Auckland	Hugh Dalton	Labour
Blackburn 	John Edwards	Labour
Blackburn 	Barbara Castle	Labour
Blackpool North	Toby Low	Conservative
Blackpool South	Roland Robinson	Conservative
Blaydon	William Whiteley	Labour
Bodmin	Douglas Marshall	Conservative
Bolton 	Jack Jones	Labour
Bolton 	John Lewis	Labour
Bootle	John Kinley	Labour
Bosworth	Arthur Allen	Labour
Bothwell	John Timmons	Labour
Bournemouth	Sir Leonard Lyle, Bt.	Conservative
Bow and Bromley	Charles Key	Labour
Bradford Central	Maurice Webb	Labour
Bradford East	Frank McLeavy	Labour
Bradford North	Muriel Nichol	Labour
Bradford South	Meredith Titterington	Labour Co-op
Brecon and Radnor	Tudor Watkins	Labour
Brentford and Chiswick	Francis Noel-Baker	Labour
Bridgwater	Vernon Bartlett	Indep. Progressive
Brigg	Tom Williamson	Labour
Brighton 	William Teeling	Conservative
Brighton 	Anthony Marlowe	Conservative
Bristol Central	Stan Awbery	Labour
Bristol East	Hon. Sir Stafford Cripps	Labour
Bristol North	Will Coldrick	Labour Co-op
Bristol South	Will Wilkins	Labour
Bristol West	Hon. Oliver Stanley	Conservative
Brixton	Marcus Lipton	Labour
Bromley	Sir Edward Campbell, Bt	Conservative
Broxtowe	Seymour Cocks	Labour
Buckingham	Aidan Crawley	Labour
Bucklow	William Shepherd	Conservative
Buckrose	George Wadsworth	Liberal
Burnley	Wilfrid Burke	Labour
Burslem	Albert Davies	Labour
Burton	Arthur William Lyne	Labour
Bury	Walter Fletcher	Conservative
Bury St. Edmunds	Geoffrey Clifton-Brown	Conservative
Caerphilly	Ness Edwards	Labour
Caithness and Sutherland	Eric Gandar Dower	Conservative
Camberwell North	Cecil Manning	Labour
Camberwell North West	Freda Corbet	Labour
Camborne	Peter Agnew	Conservative
Cambridge	Arthur Symonds	Labour
Cambridge University 	Kenneth Pickthorn	Conservative
Cambridge University 	Wilson Harris	Independent
Cambridgeshire	Albert Stubbs	Labour
Cannock	Jennie Lee	Labour
Canterbury	John Baker White	Conservative
Cardiff Central	George Thomas	Labour
Cardiff East	Hilary Marquand	Labour
Cardiff South	James Callaghan	Labour
Cardiganshire	Roderic Bowen	Liberal
Carlisle	Edgar Grierson	Labour
Carmarthen	Rhys Hopkin Morris	Liberal
Carnarvon Boroughs	David Price-White	Conservative
Carnarvonshire	Goronwy Roberts	Labour
Carshalton	Antony Head	Conservative
Chatham	Arthur Bottomley	Labour
Chelmsford	Ernest Millington	Common Wealth
Chelsea	Allan Noble	Conservative
Cheltenham	Daniel Lipson	Independent Conservative
Chertsey	Arthur Marsden	Conservative
Chesterfield	George Benson	Labour
Chester-le-Street	Jack Lawson	Labour
Chichester	Hon. Lancelot Joynson-Hicks	Conservative
Chippenham	David Eccles	Conservative
Chislehurst	George Wallace	Labour
Chorley	Clifford Kenyon	Labour
Cirencester and Tewkesbury	William Morrison	Conservative
City of Chester	Basil Nield	Conservative
City of London 	Sir Andrew Duncan	National
City of London 	Sir George Broadbridge, Bt	Conservative
Clapham	John Battley	Labour
Clay Cross	Harold Neal	Labour
Cleveland	Octavius Willey	Labour
Clitheroe	Harry Randall	Labour
Coatbridge	Jean Mann	Labour
Colchester	George Smith	Labour
Colne Valley	Glenvil Hall	Labour
Combined English Universities 	Eleanor Rathbone	Independent
Combined English Universities 	Kenneth Lindsay	Independent
Combined Scottish Universities 	Sir John Anderson	National
Combined Scottish Universities 	Sir John Boyd Orr	Independent
Combined Scottish Universities 	Sir John Graham Kerr	Conservative
Cornwall North	Tom Horabin	Liberal
Consett	James Glanville	Labour
Coventry East	Richard Crossman	Labour
Coventry West	Maurice Edelman	Labour
Crewe	Scholefield Allen	Labour
Croydon North	Henry Willink	Conservative
Croydon South	David Rees-Williams	Labour
Cumberland North	Wilfrid Roberts	Liberal
Dagenham	John Parker	Labour
Darlington	David Hardman	Labour
Dartford	Norman Dodds	Labour Co-op
Darwen	Stanley Prescott	Conservative
Daventry	Reginald Manningham-Buller	Conservative
Denbigh	Sir Henry Morris-Jones	Liberal National
Deptford	John Wilmot	Labour
Derby 	Clifford Wilcock	Labour
Derby 	Philip Noel-Baker	Labour
Derbyshire North East	Henry White	Labour
Derbyshire South	Arthur Champion	Labour
Derbyshire West	Charles Frederick White	Labour
Devizes	Christopher Hollis	Conservative
Dewsbury	William Paling	Labour
Doncaster	Evelyn Walkden	Labour
Don Valley	Tom Williams	Labour
Dorset East	Mervyn Wheatley	Conservative
Dorset North	Frank Byers	Liberal
Dorset South	Victor Montagu	Conservative
Dorset West	Simon Wingfield Digby	Conservative
Dover	John Thomas	Labour
Down 	James Little	Independent Ulster Unionist
Down 	W. D. Smiles	Ulster Unionist
Dudley	George Wigg	Labour
Dulwich	Wilfrid Vernon	Labour
Dumbarton Burghs	David Kirkwood	Labour
Dumfriesshire	Niall Macpherson	Liberal National
Dunbartonshire	Adam McKinlay	Labour
Dundee 	Thomas Cook	Labour
Dundee 	John Strachey	Labour
