constituency	name	party
Aberavon	William Cove	Labour
Aberdare	David Thomas	Labour
Aberdeen North	Hector Hughes	Labour
Aberdeen South	Lady Tweedsmuir	Conservative
Aberdeenshire East	Robert Boothby	Conservative
Aberdeenshire West	Henry Spence	Conservative
Abertillery	Rev. Llywelyn Williams	Labour
Abingdon	Sir Ralph Glyn	Conservative
Accrington	Harry Hynd	Labour
Acton	Joseph Sparks	Labour
Aldershot	Oliver Lyttelton	Conservative
Altrincham and Sale	Frederick Erroll	Conservative
Anglesey	Cledwyn Hughes	Labour
Angus North and Mearns	Colin Thornton-Kemsley	Conservative & National Liberal
Angus South	James Duncan	Conservative & National Liberal
Antrim, North	Hon. Hugh O'Neill	Ulster Unionist
Antrim, South	Douglas Savory	Ulster Unionist
Argyll	Duncan McCallum	Conservative
Armagh	Richard Harden	Ulster Unionist
Arundel and Shoreham	William Cuthbert	Conservative
Ashford	Bill Deedes	Conservative
Ashton-under-Lyne	Hervey Rhodes	Labour
Aylesbury	Spencer Summers	Conservative
Ayr	Sir Thomas Moore	Conservative
Ayrshire, Central	Archie Manuel	Labour
Ayrshire North and Bute	Sir Charles MacAndrew	Conservative
Ayrshire South	Emrys Hughes	Labour
Banbury	Douglas Dodds-Parker	Conservative
Banffshire	William Duthie	Conservative
Barking	Somerville Hastings	Labour
Barkston Ash	Col. Leonard Ropner	Conservative
Barnet	Reginald Maudling	Conservative
Barnsley	Sidney Schofield °	Labour
Barrow-in-Furness	Walter Monslow	Labour
Barry	Raymond Gower	Conservative
Basingstoke	Patrick Donner	Conservative
Bassetlaw	Fred Bellenger	Labour
Bath	James Pitman	Conservative
Batley and Morley	Dr Alfred Broughton	Labour
Battersea North	Douglas Jay	Labour
Battersea South	Ernest Partridge	Conservative
Bebington	Hendrie Oakshott	Conservative
Beckenham	Patrick Buchan-Hepburn	Conservative
Bedford	Capt. Christopher Soames	Conservative
Bedfordshire Mid	Alan Lennox-Boyd	Conservative
Bedfordshire South	Norman Cole	Conservative & National Liberal
Bedwellty	Harold Finch	Labour
Belfast, East	Alan McKibbin	Ulster Unionist
Belfast, North	Montgomery Hyde	Ulster Unionist
Belfast, South	Conolly Gage	Ulster Unionist
Belfast, West	Jack Beattie	Irish Labour
Belper	George Brown	Labour
Bermondsey	Bob Mellish	Labour
Berwick and East Lothian	Maj. William Anstruther-Gray	Conservative
Berwick-upon-Tweed	Antony Lambton	Conservative
Bethnal Green	Percy Holman	Co-op & Labour
Beverley	George Odey	Conservative
Bexley	Edward Heath	Conservative
Billericay	Bernard Braine	Conservative
Bilston	Will Nally	Co-op & Labour
Birkenhead	Percy Collick	Labour
Birmingham Aston	Woodrow Wyatt	Labour
Birmingham Edgbaston	Sir Peter Bennett	Conservative
Birmingham Erdington	Julius Silverman	Labour
Birmingham Hall Green	Aubrey Jones	Conservative
Birmingham Handsworth	Sir Edward Boyle	Conservative
Birmingham King's Norton	Geoffrey Lloyd	Conservative
Birmingham Ladywood	Victor Yates	Labour
Birmingham Northfield	Donald Chapman	Labour
Birmingham Perry Barr	Cecil Poole	Labour
Birmingham Small Heath	Fred Longden	Co-op & Labour
Birmingham Sparkbrook	Percy Shurmer	Labour
Birmingham Stechford	Roy Jenkins	Labour
Birmingham Yardley	Henry Usborne	Labour
Bishop Auckland	Hugh Dalton	Labour
Blackburn East	Barbara Castle	Labour
Blackburn West	Ralph Assheton	Conservative
Blackpool North	Austin Low	Conservative
Blackpool South	Wg. Cdr. Roland Robinson	Conservative
Blaydon	William Whiteley	Labour
Blyth	Alfred Robens	Labour
Bodmin	Douglas Marshall	Conservative
Bolsover	Harold Neal	Labour
Bolton East	Philip Bell	Conservative
Bolton West	Arthur Holt	Liberal
Bootle	John Kinley	Labour
Bosworth	Arthur Allen	Labour
Bothwell	John Timmons	Labour
Bournemouth East and Christchurch	Brendan Bracken	Conservative
Bournemouth West	Viscount Cranborne	Conservative
Bradford Central	Maurice Webb	Labour
Bradford East	Frank McLeavy	Labour
Bradford North	William Taylor	Conservative & Nat. Liberal
Bradford South	George Craddock	Labour
Brecon and Radnor	Tudor Watkins	Labour
Brentford and Chiswick	Laddie Lucas	Conservative
Bridgwater	Gerald Wills	Conservative
Bridlington	Hon. Richard Wood	Conservative
Brierley Hill	Charles Simmons	Labour
Brigg	Lance Mallalieu	Labour
Brighouse and Spenborough	John Edwards	Labour
Brighton Kemptown	Howard Johnson	Conservative
Brighton Pavilion	William Teeling	Conservative
Bristol Central	Stan Awbery	Labour
Bristol North-East	William Coldrick	Co-op & Labour
Bristol North-West	Lt.-Cmdr. Gurney Braithwaite	Conservative
Bristol South	William Wilkins	Labour
Bristol South-East	Tony Benn	Labour
Bristol West	Sir Walter Monckton	Conservative
Brixton	Lt.-Col. Marcus Lipton	Labour
Bromley	Harold Macmillan	Conservative
Bromsgrove	Michael Higgs	Conservative
Broxtowe	Seymour Cocks	Labour
Buckingham	Frank Markham	Conservative
Buckinghamshire South	Ronald Bell	Conservative
Burnley	Wilfrid Burke	Labour
Burton	Arthur Colegate	Conservative
Bury and Radcliffe	Walter Fletcher	Conservative
Bury St Edmunds	William Aitken	Conservative
Caernarvon	Goronwy Roberts	Labour
Caerphilly	Ness Edwards	Labour
Caithness and Sutherland	Sir David Robertson	Conservative
Cambridge	Hamilton Kerr	Conservative
Cambridgeshire	Gerald Howard	Conservative
Cannock	Jennie Lee	Labour
Canterbury	John Baker White	Conservative
Cardiff North	David Llewellyn	Conservative
Cardiff South-East	James Callaghan	Labour
Cardiff West	George Thomas	Labour
Carlton	Kenneth Pickthorn	Conservative
Cardigan	Roderic Bowen	Liberal
Carlisle	Alfred Hargreaves	Labour
Carmarthen	Rhys Hopkin Morris	Liberal
Carshalton	Brig. Anthony Head	Conservative
Cheadle	William Shepherd	Conservative
Chelmsford	Hubert Ashton	Conservative
Chelsea	Cmdr. Allan Noble	Conservative
Cheltenham	Maj. W. W. Hicks Beach	Conservative
Chertsey	Lionel Heald	Conservative
Chesterfield	George Benson	Labour
Chester-le-Street	Patrick Bartley	Labour
Chichester	Lancelot Joynson-Hicks	Conservative
Chippenham	David Eccles	Conservative
Chislehurst	Patricia Hornsby-Smith	Conservative
Chorley	Clifford Kenyon	Labour
Cirencester and Tewkesbury	William Morrison	Conservative
City of Chester	Basil Nield	Conservative
Cities of London and Westminster	Sir Harold Webbe	Conservative
Clapham	Charles Gibson	Labour
Cleveland	George Willey	Labour
Clitheroe	Richard Fort	Conservative
Coatbridge and Airdrie	Jean Mann	Labour
Colchester	Cuthbert Alport	Conservative
Colne Valley	Glenvil Hall	Labour
Consett	James Glanville	Labour
Conway	Peter Thomas	Conservative
Cornwall North	Sir Harold Roper	Conservative
Coventry East	Richard Crossman	Labour
Coventry North	Maurice Edelman	Labour
Coventry South	Elaine Burton	Labour
Crewe	Scholefield Allen	Labour
Crosby	Capt. Malcolm Bullock	Conservative
Croydon East	Sir Herbert Williams	Conservative
Croydon, North	Fred Harris	Conservative
Croydon West	Richard Thompson	Conservative
Dagenham	John Parker	Labour
Darlington	Sir Fergus Graham	Conservative
Dartford	Norman Dodds	Co-op & Labour
Darwen	Charles Fletcher-Cooke	Conservative
Dearne Valley	Wilfred Paling	Labour
Denbigh	Garner Evans	National Liberal
Deptford	Sir Leslie Plummer	Labour
Derby North	Gp. Capt. Clifford Wilcock	Labour
Derby South	Philip Noel-Baker	Labour
Derbyshire North-East	Henry White	Labour
Derbyshire South-East	Arthur Champion	Labour
Derbyshire, West	Edward Wakefield	Conservative
Devizes	Christopher Hollis	Conservative
Devon, North	Brig. Christopher Peto	Conservative
Dewsbury	William Paling	Labour
Doncaster	Anthony Barber	Conservative
Don Valley	Tom Williams	Labour
Dorking	Gordon Touche	Conservative
Dorset North	Robert Crouch	Conservative
Dorset, South	Victor Montagu	Conservative
Dorset West	Simon Wingfield Digby	Conservative
Dover	John Arbuthnot	Conservative
Down, North	Sir Walter Smiles	Ulster Unionist
Down, South	Capt. Lawrence Orr	Ulster Unionist
Droylsden	William Williams	Labour
Dudley	George Wigg	Labour
Dulwich	Robert Jenkins	Conservative
Dumfries	Maj. Niall Macpherson	National Liberal & Conservative
Dunbartonshire, East	Cyril Bence	Labour
Dunbartonshire, West	Tom Steele	Labour
Dundee, East	Thomas Cook	Labour
Dundee, West	John Strachey	Labour
Dunfermline Burghs	James Clunie	Labour
Durham	Charles Grey	Labour
Durham North-West	James Murray	Labour
Ealing North	James Hudson	Co-op & Labour
Ealing South	Angus Maude	Conservative
Easington	Manny Shinwell	Labour
East Ham North	Percy Daines	Co-op & Labour
East Ham South	Alfred Barnes	Co-op & Labour
Eastbourne	Charles Taylor	Conservative
East Grinstead	Col. Ralph Clarke	Conservative
Ebbw Vale	Aneurin Bevan	Labour
Eccles	William Proctor	Labour
Edinburgh Central	Thomas Oswald	Labour
Edinburgh East	John Wheatley	Labour
Edinburgh Leith	James Hoy	Labour
Edinburgh North	James Latham Clyde	Conservative
Edinburgh Pentlands	John Hope	Conservative
Edinburgh South	Sir William Darling	Conservative
Edinburgh West	Lt.-Cmdr. Ian Clark Hutchison	Conservative
Edmonton	Austen Albu	Labour
Enfield East	Ernest Davies	Labour
Enfield West	Iain MacLeod	Conservative
Epping	Graeme Finlay	Conservative
Epsom	Malcolm McCorquodale	Conservative
Esher	William Robson Brown	Conservative
Eton and Slough	Fenner Brockway	Labour
Exeter	Rolf Dudley-Williams	Conservative
Eye	Harwood Harrison	Conservative
Falmouth and Camborne	Frank Hayman	Labour
Farnham	Godfrey Nicholson	Conservative
Farnworth	George Tomlinson	Labour
Faversham	Percy Wells	Labour
Fermanagh and South Tyrone	Cahir Healy	National Party of Northern Ireland
Fife East	James Henderson-Stewart	National Liberal & Conservative
Fife West	Willie Hamilton	Labour
Finchley	Capt. John Crowder	Conservative
Flint East	Eirene White	Labour
Flint West	Nigel Birch	Conservative
Folkestone and Hythe	Brig. Harry Mackeson	Conservative
Fulham East	Michael Stewart	Labour
Fulham West	Dr Edith Summerskill	Labour
Fylde North	Hon. Richard Stanley	Conservative
Fylde South	Col. Claude Lancaster	Conservative
Gainsborough	Capt. Harry Crookshank	Conservative
Galloway	John Mackie	Conservative
Gateshead East	Arthur Moody	Labour
Gateshead West	John Hall	Labour
Gillingham	Frederick Burden	Conservative
Glasgow Bridgeton	James Carmichael	Labour
Glasgow Camlachie	William Reid	Labour
Glasgow Cathcart	John Henderson	Conservative
Glasgow Central	James McInnes	Labour
Glasgow Gorbals	Alice Cullen	Labour
Glasgow Govan	Jack Browne	Conservative
Glasgow Hillhead	Tam Galbraith	Conservative
Glasgow Kelvingrove	Walter Elliot	Conservative
Glasgow Maryhill	William Hannan	Labour
Glasgow Pollok	Thomas Galbraith	Conservative
Glasgow Scotstoun	James Hutchison	Conservative
