constituency	name	party
Aberavon	John Morris	Labour
Aberdeen, North	Robert Hughes	Labour
Aberdeen, South	Frank Doran	Labour
Aldershot	Julian Critchley	Conservative
Aldridge-Brownhills	Richard Shepherd	Conservative
Altrincham and Sale	Sir Fergus Montgomery	Conservative
Alyn and Deeside	Barry Jones	Labour
Amber Valley	Phillip Oppenheim	Conservative
Angus East	Andrew Welsh	Scottish National Party
Antrim, East	Roy Beggs	Official Unionist
Antrim, North	Rev. Ian Paisley	Democratic Unionist
Antrim, South	Clifford Forsythe	Official Unionist
Argyll and Bute	Ray Michie	Liberal
Arundel	Michael Marshall	Conservative
Ashfield	Frank Haynes	Labour
Ashford	Keith Speed	Conservative
Ashton-under-Lyne	Robert Sheldon	Labour
Aylesbury	Timothy Raison	Conservative
Ayr	Hon. George Younger	Conservative
Banbury	Tony Baldry	Conservative
Banff and Buchan	Alex Salmond	Scottish National Party
Barking	Jo Richardson	Labour
Barnsley, Central	Eric Illsley	Labour
Barnsley, East	Terry Patchett	Labour
Barnsley, West and Penistone	Allen McKay	Labour
Barrow and Furness	Cecil Franks	Conservative
Basildon	David Amess	Conservative
Basingstoke	Andrew Hunter	Conservative
Bassetlaw	Joe Ashton	Labour
Bath	Chris Patten	Conservative
Batley and Spen	Elizabeth Peacock	Conservative
Battersea	John Bowis	Conservative
Beaconsfield	Tim Smith	Conservative
Beckenham	Sir Philip Goodhart	Conservative
Bedfordshire, Mid	Nicholas Lyell	Conservative
Bedfordshire, North	Sir Trevor Skeet	Conservative
Bedfordshire, South West	David Madel	Conservative
Belfast, East	Peter Robinson	Democratic Unionist
Belfast, North	Cecil Walker	Official Unionist
Belfast, South	Rev. Martin Smyth	Official Unionist
Belfast, West	Gerry Adams	Sinn Féin
Berkshire, East	Andrew MacKay	Conservative
Berwick-upon-Tweed	Alan Beith	Liberal
Bethnal Green and Stepney	Peter Shore	Labour
Beverley	James Cran	Conservative
Bexhill and Battle	Charles Wardle	Conservative
Bexleyheath	Cyril Townsend	Conservative
Billericay	Teresa Gorman	Conservative
Birkenhead	Frank Field	Labour
Birmingham, Edgbaston	Dame Jill Knight	Conservative
Birmingham, Erdington	Robin Corbett	Labour
Birmingham, Hall Green	Andrew Hargreaves	Conservative
Birmingham, Hodge Hill	Terence Davis	Labour
Birmingham, Ladywood	Clare Short	Labour
Birmingham, Northfield	Roger King	Conservative
Birmingham, Perry Barr	Jeff Rooker	Labour
Birmingham, Selly Oak	Anthony Beaumont-Dark	Conservative
Birmingham, Small Heath	Denis Howell	Labour
Birmingham, Sparkbrook	Roy Hattersley	Labour
Birmingham, Yardley	David Gilroy Bevan	Conservative
Bishop Auckland	Derek Foster	Labour
Blaby	Nigel Lawson	Conservative
Blackburn	Jack Straw	Labour
Blackpool, North	Norman Miscampbell	Conservative
Blackpool, South	Sir Peter Blaker	Conservative
Blaenau Gwent	Michael Foot	Labour
Blaydon	John McWilliam	Labour
Blyth Valley	Ronald Campbell	Labour
Bolsover	Dennis Skinner	Labour
Bolton, North East	Peter Thurnham	Conservative
Bolton, South East	David Young	Labour
Bolton, West	Hon. Tom Sackville	Conservative
Boothferry	David Davis	Conservative
Bootle	Allan Roberts	Labour
Bosworth	David Tredinnick	Conservative
Bournemouth, East	David Atkinson	Conservative
Bournemouth, West	John Butterfill	Conservative
Bow and Poplar	Mildred Gordon	Labour
Bradford, North	Pat Wall	Labour
Bradford, South	Robert Cryer	Labour
Bradford, West	Max Madden	Labour
Braintree	Anthony Newton	Conservative
Brecon and Radnor	Richard Livsey	Liberal
Brent, East	Ken Livingstone	Labour
Brent, North	Rhodes Boyson	Conservative
Brent, South	Paul Boateng	Labour
Brentford and Isleworth	Sir Barney Hayhoe	Conservative
Brentwood and Ongar	Robert McCrindle	Conservative
Bridgend	Win Griffiths	Labour
Bridgwater	Tom King	Conservative
Bridlington	John Townend	Conservative
Brigg and Cleethorpes	Michael Brown	Conservative
Brighton, Kemptown	Andrew Bowden	Conservative
Brighton, Pavilion	Julian Amery	Conservative
Bristol, East	Jonathan Sayeed	Conservative
Bristol, North West	Michael Stern	Conservative
Bristol, South	Dawn Primarolo	Labour
Bristol, West	Hon. William Waldegrave	Conservative
Bromsgrove	Hal Miller	Conservative
Broxbourne	Marion Roe	Conservative
Broxtowe	Jim Lester	Conservative
Buckingham	George Walden	Conservative
Burnley	Peter Pike	Labour
Burton	Ivan Lawrence	Conservative
Bury, North	Alistair Burt	Conservative
Bury, South	David Sumberg	Conservative
Bury St Edmunds	Sir Eldon Griffiths	Conservative
Caernarfon	Dafydd Wigley	Plaid Cymru
Caerphilly	Ron Davies	Labour
Caithness and Sutherland	Robert Maclennan	Social Democrat
Calder Valley	Donald Thompson	Conservative
Cambridge	Robert Rhodes James	Conservative
Cambridgeshire, North East	Malcolm Moss	Conservative
Cambridgeshire, South East	James Paice	Conservative
Cambridgeshire, South West	Sir Anthony Grant	Conservative
Cannock and Burntwood	Gerald Howarth	Conservative
Canterbury	Julian Brazier	Conservative
Cardiff, Central	Ian Grist	Conservative
Cardiff, North	Gwilym Jones	Conservative
Cardiff, South and Penarth	Alun Michael	Labour Co-operative
Cardiff, West	Rhodri Morgan	Labour
Carlisle	Eric Martlew	Labour
Carmarthen	Alan Williams	Labour
Carrick, Cumnock and Doon Valley	George Foulkes	Labour Co-operative
Carshalton and Wallington	Nigel Forman	Conservative
Castle Point	Sir Bernard Braine	Conservative
Ceredigion and Pembroke North	Geraint Howells	Liberal
Cheadle	Stephen Day	Conservative
Chelmsford	Simon Burns	Conservative
Chelsea	Nicholas Scott	Conservative
Cheltenham	Charles Irving	Conservative
Chertsey and Walton	Geoffrey Pattie	Conservative
Chesham and Amersham	Sir Ian Gilmour	Conservative
Chesterfield	Tony Benn	Labour
Chichester	Anthony Nelson	Conservative
Chingford	Norman Tebbit	Conservative
Chipping Barnet	Sydney Chapman	Conservative
Chislehurst	Roger Sims	Conservative
Chorley	Den Dover	Conservative
Christchurch	Robert Adley	Conservative
Cirencester and Tewkesbury	Hon. Nicholas Ridley	Conservative
City of Chester	Hon. Peter Morrison	Conservative
City of London and Westminster South	Hon. Peter Brooke	Conservative
Clackmannan	Martin O'Neill	Labour
Clwyd, North West	Sir Anthony Meyer	Conservative
Clwyd, South West	Martyn Jones	Labour
Clydebank and Milngavie	Tony Worthington	Labour
Clydesdale	Jimmy Hood	Labour
Colchester, North	Sir Antony Buck	Conservative
Colchester, South and Maldon	John Wakeham	Conservative
Colne Valley	Graham Riddick	Conservative
Congleton	Ann Winterton	Conservative
Conwy	Wyn Roberts	Conservative
Copeland	John Cunningham	Labour
Corby	William Powell	Conservative
Cornwall, North	Gerry Neale	Conservative
Cornwall, South East	Robert Hicks	Conservative
Coventry, North East	John Hughes	Labour
Coventry, North West	Geoffrey Robinson	Labour
Coventry, South East	David Nellist	Labour
Coventry, South West	John Butcher	Conservative
Crawley	Hon. Nicholas Soames	Conservative
