constituency	name	party
Aberavon	Jack Edwards	Coalition Liberal
Aberdare	Charles Stanton	Coalition NDP
Aberdeen North	Frank Rose	Independent Labour
Aberdeen South	Frederick Thomson	Coalition Conservative
Aberdeenshire Central	Sir Alexander Theodore Gordon	Coalition Conservative
Aberdeenshire East	Sir Henry Cowan	Coalition Liberal
Aberdeenshire West and Kincardine	Hon. Arthur Murray	Coalition Liberal
Abertillery	William Brace	Labour
Abingdon	John Tyson Wigan	Coalition Conservative
Accrington	Ernest Gray	Coalition Conservative
Acton	Sir Harry Brittain	Coalition Conservative
Aldershot	Viscount Wolmer	Coalition Conservative
Altrincham	George Hamilton	Coalition Conservative
Anglesey	Sir Owen Thomas	Independent Labour
Antrim East	Robert McCalmont	Irish Unionist
Antrim Mid	Hon. Hugh O'Neill	Irish Unionist
Antrim North	Peter Kerr-Smiley	Irish Unionist
Antrim South	Charles Craig	Irish Unionist
Argyllshire	William Sutherland	Coalition Liberal
Armagh Mid	James Lonsdale	Irish Unionist
Armagh North	William Allen	Irish Unionist
Armagh South	Patrick Donnelly	Irish Nationalist
Ashford	Samuel Strang Steel	Coalition Conservative
Ashton-under-Lyne	Sir Albert Stanley	Coalition Conservative
Aylesbury	Lionel de Rothschild	Coalition Conservative
Ayr Burghs	Sir George Younger, Bt	Coalition Conservative
Ayrshire North and Bute	Sir Aylmer Hunter-Weston	Coalition Conservative
Ayrshire South	James Brown	Labour
Balham and Tooting	John Denison-Pender	Coalition Conservative
Banbury	Sir Rhys Rhys-Williams, Bt	Coalition Liberal
Banff	Charles Barrie	Coalition Liberal
Barkston Ash	George Lane-Fox	Coalition Conservative
Barnard Castle	John Swan	Labour
Barnsley	Sir Joseph Walton	Coalition Liberal
Barnstaple	Tudor Rees	Coalition Liberal
Barrow-in-Furness	Robert Burton-Chadwick	Conservative
Basingstoke	Auckland Geddes	Coalition Conservative
Bassetlaw	Sir William Hume-Williams	Coalition Conservative
Bath	Charles Foxcroft	Coalition Conservative
Batley and Morley	Gerald France	Coalition Liberal
Battersea North	Richard Morris	Coalition Liberal
Battersea South	Viscount Curzon	Coalition Conservative
Bedford	Frederick Kellaway	Coalition Liberal
Bedfordshire Mid	Max Townley	Coalition Conservative
Bedwellty	Charles Edwards	Labour
Belfast Cromac	William Arthur Lindsay	Irish Unionist
Belfast Duncairn	Sir Edward Carson	Irish Unionist
Belfast Falls	Joseph Devlin	Irish Nationalist
Belfast Ormeau	Thomas Moles	Irish Unionist
Belfast Pottinger	Herbert Dixon	Irish Unionist
Belfast Shankill	Samuel McGuffin	Labour Unionist
Belfast St Anne's	Thomas Henry Burn	Labour Unionist
Belfast Victoria	Thompson Donald	Labour Unionist
Belfast Woodvale	Robert Lynn	Irish Unionist
Belper	John Hancock	Liberal
Bermondsey West	Harold Glanville	Liberal
Berwick-on-Tweed	Sir Francis Blake, Bt	Liberal
Berwick and Haddington	John Hope	Coalition Liberal
Bethnal Green North-East	Sir Edwin Cornwall, Bt	Coalition Liberal
Bethnal Green South-West	Sir Mathew Wilson, Bt	Coalition Conservative
Bewdley	Stanley Baldwin	Coalition Conservative
Birkenhead East	Alfred Bigland	Coalition Conservative
Birkenhead West	Henry Grayson	Coalition Conservative
Birmingham Aston	Evelyn Cecil	Coalition Conservative
Birmingham Deritend	John William Dennis	Coalition Conservative
Birmingham Duddeston	Eldred Hallas	Coalition NDP
Birmingham Edgbaston	Sir Francis Lowe, Bt	Coalition Conservative
Birmingham Erdington	Sir Arthur Steel-Maitland, Bt	Coalition Conservative
Birmingham Handsworth	Ernest Meysey-Thompson	Coalition Conservative
Birmingham King's Norton	Sir Herbert Austin	Coalition Conservative
Birmingham Ladywood	Neville Chamberlain	Coalition Conservative
Birmingham Moseley	Sir Hallewell Rogers	Coalition Conservative
Birmingham Sparkbrook	Leo Amery	Coalition Conservative
Birmingham West	Sir Austen Chamberlain	Coalition Conservative
Birmingham Yardley	Alfred Jephcott	Coalition Conservative
Bishop Auckland	Ben Spoor	Labour
Blackburn 	Sir Henry Norman, Bt	Coalition Liberal
Blackburn 	Percy Dean	Coalition Conservative
Blackpool	Albert Lindsay Parkinson	Coalition Conservative
Blaydon	Walter Waring	Coalition Liberal
Bodmin	Sir Charles Hanson, Bt	Coalition Conservative
Bolton 	Robert Tootill	Labour
Bolton 	William Edge	Coalition Liberal
Bootle	Sir Thomas Royden, Bt	Coalition Conservative
Bosworth	Hon. Henry McLaren	Coalition Liberal
Bothwell	David Macdonald	Coalition Conservative
Bournemouth	Sir Henry Page Croft	National Party
Bow and Bromley	Reginald Blair	Coalition Conservative
Bradford Central	Henry Butler Ratcliffe	Coalition Conservative
Bradford East	Charles Edgar Loseby	Coalition NDP
Bradford North	Archibald Boyd-Carpenter	Coalition Conservative
Bradford South	Vernon Willey	Coalition Conservative
Brecon and Radnor	Sidney Robinson	Coalition Liberal
Brentford and Chiswick	Walter Morden	Coalition Conservative
Bridgwater	Robert Sanders	Coalition Conservative
Brigg	C. W. W. McLean	Coalition Conservative
Brighton 	George Tryon	Coalition Conservative
Brighton 	Charles Thomas-Stanford	Coalition Conservative
Bristol Central	Thomas Inskip	Coalition Conservative
Bristol East	George Britton	Coalition Liberal
Bristol North	Stanley Gange	Coalition Liberal
Bristol South	Sir Howell Davies	Coalition Liberal
Bristol West	George Gibbs	Coalition Conservative
Brixton	Davison Dalziel	Coalition Conservative
Bromley	Henry Forster	Coalition Conservative
Broxtowe	George Spencer	Labour
Buckingham	George Bowyer	Coalition Conservative
Buckrose	Algernon Moreing	Coalition Liberal
Burnley	Dan Irving	Labour
Burslem	Samuel Finney	Labour
Burton	John Gretton	Coalition Conservative
Bury	Charles Ainsworth	Conservative
Bury St Edmunds	Hon. Walter Guinness	Coalition Conservative
Caerphilly	Alfred Onions	Labour
Caithness and Sutherland	Sir Leicester Harmsworth	Coalition Liberal
Camberwell North	Henry Newton Knights	Coalition Conservative
Camberwell North-West	Thomas Macnamara	Coalition Liberal
Camborne	Francis Dyke Acland	Liberal
Cambridge	Sir Eric Geddes	Coalition Conservative
Cambridgeshire	Hon. Edwin Montagu	Coalition Liberal
Cambridge University	Sir Joseph Larmor	Coalition Conservative
Cambridge University	John Rawlinson	Coalition Conservative
Cannock	James Parker	Coalition Labour
Canterbury	Ronald McNeill	Coalition Conservative
Cardiff Central	James Childs Gould	Conservative
Cardiff East	Sir William Seager	Liberal
Cardiff South	Herbert Cory	Conservative
Cardiganshire	Matthew Vaughan-Davies	Coalition Liberal
Carlisle	Theodore Carr	Coalition Liberal
Carlow	James Lennon	Sinn Féin
Carmarthen	John Hinds	Coalition Liberal
Carnarvon Boroughs	David Lloyd George	Coalition Liberal
Carnarvonshire	Charles Breese	Coalition Liberal
Cavan East	Arthur Griffith	Sinn Féin
Cavan West	Paul Galligan	Sinn Féin
Chatham	John Moore-Brabazon	Conservative
Chelmsford	E. G. Pretyman	Coalition Conservative
Chelsea	Sir Samuel Hoare, Bt	Coalition Conservative
Cheltenham	Sir James Agg-Gardner	Coalition Conservative
Chertsey	Donald Macmaster	Coalition Conservative
Chester	Sir Owen Philipps	Coalition Conservative
Chesterfield	Barnet Kenyon	Liberal
Chester-le-Street	John Wilkinson Taylor	Labour
Chichester	Edmund Talbot	Coalition Conservative
Chippenham	George Terrell	Coalition Conservative
Chislehurst	Alfred Smithers	Coalition Conservative
Chorley	Douglas Hacking	Coalition Conservative
Cirencester and Tewkesbury	Thomas Davies	Coalition Conservative
City of London 	Sir Frederick Banbury, Bt	Coalition Conservative
City of London 	Arthur Balfour	Coalition Conservative
Clapham	Sir Arthur du Cros, Bt	Coalition Conservative
Clare East	Éamon de Valera	Sinn Féin
Clare West	Brian O'Higgins	Sinn Féin
Clay Cross	Thomas Broad	Coalition Liberal
Cleveland	Sir Park Goff	Coalition Conservative
Clitheroe	Alfred Davies	Labour
Coatbridge	A. L. H. Buchanan	Coalition Conservative
Colchester	Sir Laming Worthington-Evans, Bt	Coalition Conservative
Colne Valley	Frederick Mallalieu	Coalition Liberal
Combined English Universities 	Sir Martin Conway	Coalition Conservative
Combined English Universities 	H. A. L. Fisher	Coalition Liberal
Combined Scottish Universities 	Sir William Cheyne, Bt	Coalition Conservative
Combined Scottish Universities 	Dugald Cowan	Coalition Liberal
Combined Scottish Universities 	Sir Henry Craik	Coalition Conservative
Consett	Aneurin Williams	Liberal
Cork City 	Liam de Róiste	Sinn Féin
Cork City 	James J. Walsh	Sinn Féin
County Cork East	David Kent	Sinn Féin
County Cork Mid	Terence MacSwiney	Sinn Féin
County Cork North	Patrick O'Keeffe	Sinn Féin
County Cork North East	Thomas Hunter	Sinn Féin
County Cork South	Michael Collins	Sinn Féin
County Cork South East	Diarmuid Lynch	Sinn Féin
County Cork West	Seán Hayes	Sinn Féin
Cornwall North	Sir George Marks	Coalition Liberal
Coventry	Edward Manville	Coalition Conservative
Crewe	Joseph Davies	Coalition Liberal
Croydon North	George Borwick	Coalition Conservative
Croydon South	Ian Malcolm	Coalition Conservative
Cumberland North	Christopher Lowther	Coalition Conservative
Darlington	Herbert Pease	Coalition Conservative
Dartford	James Rowlands	Coalition Liberal
Darwen	Sir John Rutherford, Bt	Coalition Conservative
Daventry	Hon. Edward FitzRoy	Coalition Conservative
Denbigh	Sir David Davies	Coalition Liberal
Deptford	C. W. Bowerman	Labour
Derby 	J. H. Thomas	Labour
Derby 	Albert Green	Conservative
Derbyshire North East	Stanley Holmes	Liberal
Derbyshire South	Holman Gregory	Coalition Liberal
Derbyshire West	Charles Frederick White	Liberal
Devizes	Cory Bell	Coalition Conservative
Dewsbury	Emil Pickering	Coalition Conservative
Doncaster	Reginald Nicholson	Coalition Liberal
Don Valley	James Walton	Coalition NDP
Donegal East	Edward Kelly	Irish Nationalist
Donegal North	Joseph O'Doherty	Sinn Féin
Donegal South	Peter J. Ward	Sinn Féin
Donegal West	Joseph Sweeney	Sinn Féin
Down East	David Reid	Irish Unionist
Down Mid	Sir James Craig, Bt	Irish Unionist
Down North	Thomas Watters Brown	Irish Unionist
Down South	Jeremiah McVeagh	Irish Nationalist
Down West	Daniel Martin Wilson	Irish Unionist
Dorset East	Hon. Freddie Guest	Coalition Liberal
Dorset North	Philip Colfox	Coalition Conservative
Dorset South	Angus Hambro	Coalition Conservative
Dorset West	Sir Robert Williams, Bt	Coalition Conservative
Dover	Viscount Duncannon	Coalition Conservative
Dublin Clontarf	Richard Mulcahy	Sinn Féin
Dublin College Green	Seán T. O'Kelly	Sinn Féin
Dublin County North	Frank Lawless	Sinn Féin
Dublin County South	George Gavan Duffy	Sinn Féin
Dublin Harbour	Philip Shanahan	Sinn Féin
Dublin Pembroke	Desmond FitzGerald	Sinn Féin
Dublin Rathmines	Sir Maurice Dockrell	Irish Unionist
Dublin St James's	Joseph McGrath	Sinn Féin
Dublin St Michan's	Michael Staines	Sinn Féin
