constituency	name	party
Aberavon	William Cove	Labour
Aberdare	George Hall	Labour
Aberdeen North	George Garro-Jones	Labour
Aberdeen South	Sir Douglas Thomson, Bt	Conservative
Aberdeenshire Central	Sir Robert Smith	Conservative
Aberdeenshire East	Robert Boothby	Conservative
Aberdeenshire West and Kincardine	Malcolm Barclay-Harvey	Conservative
Abertillery	George Daggar	Labour
Abingdon	Sir Ralph Glyn, Bt	Conservative
Accrington	Henry Procter	Conservative
Acton	Hubert Duggan	Conservative
Aldershot	Roundell Palmer	Conservative
Altrincham	Sir Edward Grigg	Conservative
Anglesey	Megan Lloyd George	Independent Liberal
Antrim 	Hon. Sir Hugh O'Neill	Ulster Unionist
Antrim 	Sir Joseph McConnell, Bt	Ulster Unionist
Argyllshire	Frederick Macquisten	Conservative
Armagh	Sir William Allen	Ulster Unionist
Ashford	Patrick Spens	Conservative
Ashton-under-Lyne	Fred Simpson	Labour
Aylesbury	Michael Beaumont	Conservative
Ayr Burghs	Thomas Moore	Conservative
Ayrshire North and Bute	Sir Charles MacAndrew	Conservative
Ayrshire South	The Rt Hon. James Brown	Labour
Balham and Tooting	Sir Alfred Butt, Bt	Conservative
Banbury	Sir Albert Edmondson	Conservative
Banffshire	Sir John Findlay, Bt	Conservative
Barkston Ash	Leonard Ropner	Conservative
Barnard Castle	Thomas Sexton	Labour
Barnsley	John Potts	Labour
Barnstaple	Richard Acland	Liberal
Barrow-in-Furness	Sir Jonah Walker-Smith	Conservative
Basingstoke	Patrick Donner	Conservative
Bassetlaw	Frederick Bellenger	Labour
Bath	Loel Guinness	Conservative
Batley and Morley	Willie Brooke	Labour
Battersea North	William Sanders	Labour
Battersea South	Harry Selley	Conservative
Bedford	Richard Wells	Conservative
Bedfordshire Mid	Alan Lennox-Boyd	Conservative
Bedwellty	Charles Edwards	Labour
Belfast, East	Herbert Dixon	Ulster Unionist
Belfast, North	Thomas Somerset	Ulster Unionist
Belfast, South	William Stewart	Ulster Unionist
Belfast, West	Alexander Browne	Ulster Unionist
Belper	Herbert Wragg	Conservative
Bermondsey West	Alfred Salter	Labour
Berwick and Haddington	John McEwen	Conservative
Berwick-on-Tweed	Sir Hugh Seely, Bt	Liberal
Bethnal Green North-East	Dan Chater	Labour Co-op
Bethnal Green South-West	Sir Percy Harris, Bt	Liberal
Bewdley	The Rt Hon. Stanley Baldwin	Conservative
Birkenhead East	Graham White	Liberal
Birkenhead West	John Sandeman Allen	Conservative
Birmingham Aston	Hon. Arthur Hope	Conservative
Birmingham Deritend	Smedley Crooke	Conservative
Birmingham Duddeston	Oliver Simmonds	Conservative
Birmingham Edgbaston	Rt. Hon. Neville Chamberlain	Conservative
Birmingham Erdington	John Eales	Conservative
Birmingham Handsworth	Oliver Locker-Lampson	Conservative
Birmingham King's Norton	Ronald Cartland	Conservative
Birmingham Ladywood	Geoffrey Lloyd	Conservative
Birmingham Moseley	Sir Patrick Hannon	Conservative
Birmingham Sparkbrook	Rt. Hon. Leo Amery	Conservative
Birmingham West	Rt. Hon. Sir Austen Chamberlain	Conservative
Birmingham Yardley	Edward Salt	Conservative
Bishop Auckland	Hugh Dalton	Labour
Blackburn 	W. D. Smiles	Conservative
Blackburn 	George Elliston	Conservative
Blackpool	Roland Robinson	Conservative
Blaydon	William Whiteley	Labour
Bodmin	John Rathbone	Conservative
Bolton 	Cyril Entwistle	Conservative
Bolton 	Sir John Haslam	Conservative
Bootle	Eric Errington	Conservative
Bosworth	William Edge	Liberal National
Bothwell	James C. Welsh	Labour
Bournemouth	Sir Henry Page Croft	Conservative
Bow and Bromley	The Rt Hon. George Lansbury	Labour
Bradford Central	William Leach	Labour
Bradford East	Joseph Hepworth	Conservative
Bradford North	Eugene Ramsden	Conservative
Bradford South	Herbert Holdsworth	Liberal
Brecon and Radnor	Hon. Ivor Guest	National
Brentford and Chiswick	Harold Mitchell	Conservative
Bridgwater	Reginald Croom-Johnson	Conservative
Brigg	David Quibell	Labour
Brighton 	Cooper Rawson	Conservative
Brighton 	The Rt Hon. Sir George Tryon	Conservative
Bristol Central	Lord Apsley	Conservative
Bristol East	Sir Stafford Cripps	Labour
Bristol North	Robert Bernays	Liberal
Bristol South	Alexander Walkden	Labour
Bristol West	Cyril Thomas Culverwell	Conservative
Brixton	Nigel Colman	Conservative
Bromley	Sir Edward Campbell	Conservative
Broxtowe	Seymour Cocks	Labour
Buckingham	Sir George Bowyer, Bt	Conservative
Buckrose	Albert Braithwaite	Conservative
Burnley	Wilfrid Burke	Labour
Burslem	Andrew McLaren	Labour
Burton	The Rt Hon. John Gretton	Conservative
Bury	Alan Chorlton	Conservative
Bury St Edmunds	Frank Heilgers	Conservative
Caerphilly	Morgan Jones	Labour
Caithness and Sutherland	The Rt Hon. Sir Archibald Sinclair, Bt	Liberal
Camberwell North	Charles Ammon	Labour
Camberwell North West	Hon. Oscar Guest	Conservative
Camborne	Peter Agnew	Conservative
Cambridge	Richard Tufnell	Conservative
Cambridgeshire	Richard Briscoe	Conservative
Cambridge University 	Sir John Withers	Conservative
Cambridge University 	Kenneth Pickthorn	Conservative
Cannock	William Adamson	Labour
Canterbury	Sir William Wayland	Conservative
Cardiff Central	Sir Ernest Bennett	National Labour
Cardiff East	Owen Temple-Morris	Conservative
Cardiff South	Arthur Evans	Conservative
Cardiganshire	Owen Evans	Liberal
Carlisle	Louis Spears	Conservative
Carmarthen	Daniel Hopkin	Labour
Carnarvon Boroughs	The Rt Hon. David Lloyd George	Independent Liberal
Carnarvonshire	Goronwy Owen	Independent Liberal
Chatham	Leonard Plugge	Conservative
Chelmsford	John Macnamara	Conservative
Chelsea	Rt. Hon. Sir Samuel Hoare, Bt	Conservative
Cheltenham	Sir Walter Preston	Conservative
Chertsey	Sir Archibald Boyd-Carpenter	Conservative
City of Chester	Sir Charles Cayzer, Bt	Conservative
Chesterfield	George Benson	Labour
Chester-le-Street	Jack Lawson	Labour
Chichester	John Courtauld	Conservative
Chippenham	Victor Cazalet	Conservative
Chislehurst	Sir Waldron Smithers	Conservative
Chorley	The Rt Hon. Sir Douglas Hacking	Conservative
Cirencester and Tewkesbury	William Morrison	Conservative
City of London 	Sir Alan Anderson	Conservative
City of London 	Sir Vansittart Bowater, Bt	Conservative
Clapham	Sir John Leigh, Bt	Conservative
Clay Cross	Alfred Holland	Labour
Cleveland	Robert Bower	Conservative
Clitheroe	Sir William Brass	Conservative
Coatbridge	James Barr	Labour
Colchester	Oswald Lewis	Conservative
Colne Valley	Ernest Marklew	Labour
Combined English Universities 	Eleanor Rathbone	Independent
Combined English Universities 	Sir Reginald Craddock	Conservative
Combined Scottish Universities 	John Graham Kerr	Conservative
Combined Scottish Universities 	George Morrison	Liberal National
Combined Scottish Universities 	Noel Skelton	Conservative
Cornwall North	Rt Hon. Sir Francis Dyke Acland, Bt	Liberal
Consett	David Adams	Labour
Coventry	William Strickland	Conservative
Crewe	Sir Donald Somervell	Conservative
Croydon North	Hon. Glyn Mason	Conservative
Croydon South	Herbert Williams	Conservative
Cumberland North	Wilfrid Roberts	Liberal
Darlington	Charles Peat	Conservative
Dartford	Frank Clarke	Conservative
Darwen	Stuart Russell	Conservative
Daventry	The Rt Hon. Edward FitzRoy	Speaker 
Denbigh	Sir Henry Morris-Jones	Liberal National
Deptford	Walter Green	Labour Co-op
Derby 	Rt. Hon. J. H. Thomas	National Labour
Derby 	William Allan Reid	Conservative
Derbyshire North East	Frank Lee	Labour
Derbyshire South	Paul Emrys-Evans	Conservative
Derbyshire West	The Marquess of Hartington	Conservative
Devizes	Sir Percy Hurd	Conservative
Dewsbury	Benjamin Riley	Labour
Doncaster	Alfred Short	Labour
Don Valley	Tom Williams	Labour
Dorset East	Gordon Hall Caine	Conservative
Dorset North	Sir Cecil Hanbury	Conservative
Dorset, South	Viscount Cranborne	Conservative
Dorset West	Philip Colfox	Conservative
Dover	Hon. John Astor	Conservative
Down 	Sir David Reid	Ulster Unionist
Down 	Viscount Castlereagh	Ulster Unionist
Dudley	Dudley Joel	Conservative
Dulwich	Bracewell Smith	Conservative
Dumbarton Burghs	David Kirkwood	Labour
Dumfriesshire	Sir Henry Fildes	Liberal National
