constituency	name	party
Aberavon	John Morris	Labour
Aberdare	Arthur Probert	Labour
Aberdeen North	Hector Hughes	Labour
Aberdeen South	Lady Tweedsmuir	Conservative
Aberdeenshire East	Patrick Wolrige-Gordon	Conservative
Aberdeenshire West	Forbes Hendry	Conservative
Abertillery	Llywelyn Williams	Labour
Abingdon	Airey Neave	Conservative
Accrington	Henry Hynd	Labour
Acton	Bernard Floud	Labour
Aldershot	Eric Errington	Conservative
Altrincham and Sale	Frederick Erroll	Conservative
Anglesey	Cledwyn Hughes	Labour
Angus North and Mearns	Alick Buchanan-Smith	Conservative
Angus South	Jock Bruce-Gardyne	Conservative
Antrim North	Henry Maitland Clark	Ulster Unionist
Antrim South	Sir Knox Cunningham	Ulster Unionist
Argyll	Michael Noble	Conservative
Armagh	John Maginnis	Ulster Unionist
Arundel and Shoreham	Henry Kerby	Conservative
Ashfield	William Warbey	Labour
Ashford	Bill Deedes	Conservative
Ashton-under-Lyne	Robert Sheldon	Labour
Aylesbury	Spencer Summers	Conservative
Ayr	Hon. George Younger	Conservative
Ayrshire Central	Archie Manuel	Labour
Ayrshire North and Bute	Fitzroy Maclean	Conservative
Ayrshire South	Emrys Hughes	Labour
Banbury	Neil Marten	Conservative
Banffshire	Wilfred Baker	Conservative
Barking	Tom Driberg	Labour
Barkston Ash	Michael Alison	Conservative
Barnet	Reginald Maudling	Conservative
Barnsley	Roy Mason	Labour
Barons Court	Ivor Richard	Labour
Barrow-in-Furness	Walter Monslow	Labour
Barry	Raymond Gower	Conservative
Basingstoke	David Mitchell	Conservative
Bassetlaw	Fred Bellenger	Labour
Bath	Edward Brown	Conservative
Batley and Morley	Alfred Broughton	Labour
Battersea North	Douglas Jay	Labour
Battersea South	Ernest Perry	Labour
Bebington	Geoffrey Howe	Conservative
Beckenham	Philip Goodhart	Conservative
Bedford	Christopher Soames	Conservative
Bedfordshire, Mid	Stephen Hastings	Conservative
Bedfordshire South	Norman Cole	Conservative
Bedwellty	Harold Finch	Labour
Belfast East	Stanley McMaster	Ulster Unionist
Belfast North	Stratton Mills	Ulster Unionist
Belfast South	Rafton Pounder	Ulster Unionist
Belfast West	James Kilfedder	Ulster Unionist
Belper	George Brown	Labour
Bermondsey	Bob Mellish	Labour
Berwick and East Lothian	William Anstruther-Gray	Conservative
Berwick upon Tweed	Antony Lambton	Conservative
Bethnal Green	Percy Holman	Labour
Bexley	Edward Heath	Conservative
Billericay	Edward Gardner	Conservative
Bilston	Robert Edwards	Labour
Birkenhead	Edmund Dell	Labour
Birmingham All Saints	Brian Walden	Labour
Birmingham Aston	Julius Silverman	Labour
Birmingham Edgbaston	Edith Pitt	Conservative
Birmingham Hall Green	Aubrey Jones	Conservative
Birmingham Handsworth	Sir Edward Boyle	Conservative
Birmingham Ladywood	Victor Yates	Labour
Birmingham Northfield	Donald Chapman	Labour
Birmingham Perry Barr	Wyndham Davies	Conservative
Birmingham Selly Oak	Harold Gurden	Conservative
Birmingham Small Heath	Denis Howell	Labour
Birmingham Sparkbrook	Roy Hattersley	Labour
Birmingham Stechford	Roy Jenkins	Labour
Birmingham Yardley	Ioan Evans	Labour
Bishop Auckland	James Boyden	Labour
Blackburn	Barbara Castle	Labour
Blackpool North	Norman Miscampbell	Conservative
Blackpool South	Peter Blaker	Conservative
Blaydon	Robert Woof	Labour
Blyth	Eddie Milne	Labour
Bodmin	Peter Bessell	Liberal
Bolsover	Harold Neal	Labour
Bolton East	Robert Howarth	Labour
Bolton West	Gordon Oakes	Labour
Bootle	Simon Mahon	Labour
Bosworth	Woodrow Wyatt	Labour
Bothwell	James Hamilton	Labour
Bournemouth East and Christchurch	John Cordle	Conservative
Bournemouth West	John Eden	Conservative
Bradford East	Frank McLeavy	Labour
Bradford North	Ben Ford	Labour
Bradford South	George Craddock	Labour
Bradford West	Arthur Tiley	Liberal National
Brecon and Radnor	Tudor Watkins	Labour
Brentford and Chiswick	Dudley Smith	Conservative
Bridgwater	Gerald Wills	Conservative
Bridlington	Hon. Richard Wood	Conservative
Brierley Hill	J. E. Talbot	Conservative
Brigg	Lance Mallalieu	Labour
Brighouse and Spenborough	Colin Jackson	Labour
Brighton Kemptown	Dennis Hobden	Labour
Brighton Pavilion	Sir William Teeling	Conservative
Bristol Central	Arthur Palmer	Labour Co-operative
Bristol North East	Alan Hopkins	Liberal National
Bristol North West	Martin McLaren	Conservative
Bristol South	William A. Wilkins	Labour
Bristol South East	Tony Benn	Labour
Bristol West	Robert Cooke	Conservative
Brixton	Marcus Lipton	Labour
Bromley	John Hunt	Conservative
Bromsgrove	James Dance	Conservative
Buckingham	Robert Maxwell	Labour
Buckinghamshire South	Ronald Bell	Conservative
Burnley	Daniel Jones	Labour
Burton	John Jennings	Conservative
Bury and Radcliffe	David Ensor	Labour
Bury St Edmunds	Eldon Griffiths	Conservative
Caernarfon	Goronwy Roberts	Labour
Caerphilly	Ness Edwards	Labour
Caithness and Sutherland	George Mackie	Liberal
Cambridge	Sir Hamilton Kerr	Conservative
Cambridgeshire	Francis Pym	Conservative
Cannock	Jennie Lee	Labour
Canterbury	Leslie Thomas	Conservative
Cardiff North	Donald Box	Conservative
Cardiff South East	James Callaghan	Labour
Cardiff West	George Thomas	Labour
Cardiganshire	Roderic Bowen	Liberal
Carlisle	Ronald Lewis	Labour
Carlton	Kenneth Pickthorn	Conservative
Carmarthen	Lady Megan Lloyd George	Labour
Carshalton	Walter Elliot	Conservative
Cheadle	William Shepherd	Conservative
Chelmsford	Norman St John-Stevas	Conservative
Chelsea	John Litchfield	Conservative
Cheltenham	Douglas Dodds-Parker	Conservative
Chertsey	Lionel Heald	Conservative
Chester, City of	John Temple	Conservative
Chesterfield	Eric Varley	Labour
Chester-le-Street	Norman Pentland	Labour
Chichester	Walter Loveys	Conservative
Chigwell	John Biggs-Davison	Conservative
Chippenham	Daniel Awdry	Conservative
Chislehurst	Patricia Hornsby-Smith	Conservative
Chorley	Clifford Kenyon	Labour
Cirencester and Tewkesbury	Hon. Nicholas Ridley	Conservative
Cities of London and Westminster	Harry Hylton-Foster	Speaker 
Clapham	Margaret McKay	Labour
Cleveland	James Tinn	Labour
Clitheroe	Francis Pearson	Conservative
Coatbridge and Airdrie	James Dempsey	Labour
Colchester	Antony Buck	Conservative
Colne Valley	Pat Duffy	Labour
Consett	William Stones	Labour
Conway	Peter Thomas	Conservative
Cornwall, North	James Scott-Hopkins	Conservative
Coventry East	Richard Crossman	Labour
Coventry North	Maurice Edelman	Labour
Coventry South	William Wilson	Labour
Crewe	Scholefield Allen	Labour
Crosby	Graham Page	Conservative
Croydon North-East	Bernard Weatherill	Conservative
Croydon North-West	Fred Harris	Conservative
Croydon South	Richard Thompson	Conservative
Dagenham	John Parker	Labour
Darlington	Edward Fletcher	Labour
Dartford	Sydney Irving	Labour
Darwen	Charles Fletcher-Cooke	Conservative
Dearne Valley	Edwin Wainwright	Labour
Denbigh	Geraint Morgan	Conservative
Deptford	Hon. John Silkin	Labour
Derby North	Niall MacDermot	Labour
Derby South	Philip Noel-Baker	Labour
Derbyshire North East	Tom Swain	Labour
Derbyshire South East	Trevor Park	Labour
Derbyshire West	Aidan Crawley	Conservative
Devizes	Charles Morrison	Conservative
Devon, North	Jeremy Thorpe	Liberal
Dewsbury	David Ginsburg	Labour
Don Valley	Richard Kelley	Labour
Doncaster	Harold Walker	Labour
Dorking	George Sinclair	Conservative
Dorset North	Sir Richard Glyn	Conservative
Dorset South	Evelyn King	Conservative
Dorset West	Simon Wingfield Digby	Conservative
Dover	David Ennals	Labour
Down North	George Currie	Ulster Unionist
Down South	Lawrence Orr	Ulster Unionist
Dudley	George Wigg	Labour
Dulwich	Hon. Samuel Silkin	Labour
Dumfriesshire	Hector Monro	Conservative
Dunbartonshire East	Cyril Bence	Labour
Dunbartonshire West	Tom Steele	Labour
Dundee East	George Thomson	Labour
Dundee West	Peter Doig	Labour
Dunfermline Burghs	Adam Hunter	Labour
Durham	Charles Grey	Labour
Durham North West	Ernest Armstrong	Labour
Ealing North	William Molloy	Labour
Ealing South	Brian Batsford	Conservative
Easington	Manny Shinwell	Labour
East Grinstead	Evelyn Emmet	Conservative
East Ham North	Reg Prentice	Labour
East Ham South	Albert Oram	Labour
Eastbourne	Charles Taylor	Conservative
Eastleigh	David Price	Conservative
Ebbw Vale	Michael Foot	Labour
Eccles	Lewis Carter-Jones	Labour
Edinburgh Central	Thomas Oswald	Labour
Edinburgh East	George Willis	Labour
Edinburgh Leith	James Hoy	Labour
Edinburgh North	John Scott	Conservative
Edinburgh Pentlands	Norman Wylie	Conservative
Edinburgh South	Michael Hutchison	Conservative
Edinburgh West	Anthony Stodart	Conservative
Edmonton	Austen Albu	Labour
Enfield East	John Mackie	Labour
Enfield West	Iain Macleod	Conservative
Epping	Stanley Newens	Labour
Epsom	Peter Rawlinson	Conservative
Erith and Crayford	Norman Dodds	Labour
Esher	William Robson Brown	Conservative
Essex South East	Bernard Braine	Conservative
Eton and Slough	Anthony Meyer	Conservative
Exeter	Sir Rolf Dudley-Williams	Conservative
Eye	Harwood Harrison	Conservative
Falmouth and Camborne	Frank Hayman	Labour
Farnham	Godfrey Nicholson	Conservative
Farnworth	Ernest Thornton	Labour
Faversham	Terence Boston	Labour
Feltham	Albert Hunter	Labour
Fermanagh and South Tyrone	James Hamilton	Ulster Unionist
Fife East	Sir John Gilmour, Bt.	Conservative
Fife West	Willie Hamilton	Labour
Finchley	Margaret Thatcher	Conservative
Flint East	Eirene White	Labour
Flint West	Nigel Birch	Conservative
Folkestone and Hythe	Albert Costain	Conservative
Fulham	Michael Stewart	Labour
Fylde North	Richard Stanley	Conservative
Fylde South	Claude Lancaster	Conservative
Gainsborough	Marcus Kimball	Conservative
Galloway	John Brewis	Conservative
Gateshead East	Bernard Conlan	Labour
Gateshead West	Harry Randall	Labour
Gillingham	Frederick Burden	Conservative
Glasgow Bridgeton	James Bennett	Labour
Glasgow Cathcart	Teddy Taylor	Conservative
Glasgow Central	James McInnes	Labour
Glasgow Craigton	Bruce Millan	Labour
Glasgow Gorbals	Alice Cullen	Labour
Glasgow Govan	John Rankin	Labour
Glasgow Hillhead	Tam Galbraith	Conservative
Glasgow Kelvingrove	Maurice Miller	Labour
Glasgow Maryhill	William Hannan	Labour
Glasgow Pollok	Alex Garrow	Labour
Glasgow Provan	Hugh Brown	Labour
Glasgow Scotstoun	William Small	Labour
Glasgow Shettleston	Myer Galpern	Labour
Glasgow Springburn	Richard Buchanan	Labour
Glasgow Woodside	Neil Carmichael	Labour
Gloucester	Jack Diamond	Labour
Gloucestershire South	Frederick Corfield	Conservative
Gloucestershire West	Charles Loughlin	Labour
Goole	George Jeger	Labour
Gosport and Fareham	Reginald Bennett	Conservative
Gower	Ifor Davies	Labour
Grantham	Joseph Godber	Conservative
Gravesend	Albert Murray	Labour
Greenock	Dr Dickson Mabon	Labour
Greenwich	Richard Marsh	Labour
Grimsby	Anthony Crosland	Labour
Guildford	George Nugent	Conservative
Hackney Central	Herbert Butler	Labour
Hackney North and Stoke Newington	David Weitzman	Labour
Halifax	Dr Shirley Summerskill	Labour
Haltemprice	Patrick Wall	Conservative
Hamilton	Tom Fraser	Labour
Hammersmith North	Frank Tomney	Labour
Hampstead	Henry Brooke	Conservative
Harborough	John Farr	Conservative
Harrogate	James Ramsden	Conservative
Harrow Central	Anthony Grant	Conservative
Harrow East	Anthony Courtney	Conservative
Harrow West	John Page	Conservative
The Hartlepools	Edward Leadbitter	Labour
Harwich	Julian Ridsdale	Liberal National
Hastings	Neill Cooper-Key	Conservative
Hayes and Harlington	Arthur Skeffington	Labour
Hemel Hempstead	James Allason	Conservative
Hemsworth	Alan Beaney	Labour
Hendon North	Ian Orr-Ewing	Conservative
Hendon South	Hugh Lucas-Tooth	Conservative
Henley	John Hay	Conservative
Hereford	David Gibson-Watt	Conservative
Hertford	Lord Balniel	Conservative
Hertfordshire East	Derek Walker-Smith	Conservative
Hertfordshire South West	Gilbert Longden	Conservative
Heston and Isleworth	Reader Harris	Conservative
Hexham	Rupert Speir	Conservative
Heywood and Royton	Joel Barnett	Labour
High Peak	David Walder	Conservative
Hitchin	Shirley Williams	Labour
Holborn and St Pancras South	Lena Jeger	Labour
Holland with Boston	Sir Herbert Butcher	Liberal National
Honiton	Robert Mathew	Conservative
Horncastle	John Maitland	Conservative
Hornchurch	Godfrey Lagden	Conservative
Hornsey	Muriel Gammans	Conservative
Horsham	Peter Hordern	Conservative
Houghton-le-Spring	Tom Urwin	Labour
Hove	Anthony Marlowe	Conservative
Howden	Paul Bryan	Conservative
Huddersfield East	Joseph Mallalieu	Labour
Huddersfield West	Kenneth Lomas	Labour
Huntingdonshire	David Renton	Liberal National
Huyton	Harold Wilson	Labour
Ilford North	Tom Iremonger	Conservative
Ilford South	Albert Cooper	Conservative
Ilkeston	Raymond Fletcher	Labour
Ince	Michael McGuire	Labour
Inverness	Russell Johnston	Liberal
Ipswich	Dingle Foot	Labour
Isle of Ely	Harry Legge-Bourke	Conservative
Isle of Thanet	William Rees-Davies	Conservative
Isle of Wight	Mark Woodnutt	Conservative
Islington East	Eric Fletcher	Labour
Islington North	Gerry Reynolds	Labour
Islington South West	Albert Evans	Labour
Jarrow	Ernest Fernyhough	Labour
Keighley	John Binns	Labour
Kensington North	George Rogers	Labour
Kensington South	William Roots	Conservative
Kettering	Geoffrey de Freitas	Labour
Kidderminster	Tatton Brinton	Conservative
Kilmarnock	William Ross	Labour
King's Lynn	Derek Page	Labour
Kingston upon Hull East	Harry Pursey	Labour
Kingston upon Hull North	Henry Solomons	Labour
Kingston upon Hull West	James Johnson	Labour
Kingston-upon-Thames	John Boyd-Carpenter	Conservative
Kinross and West Perthshire	Alec Douglas-Home	Conservative
Kirkcaldy Burghs	Harry Gourlay	Labour
Knutsford	Walter Bromley-Davenport	Conservative
Lanark	Judith Hart	Labour
Lanarkshire North	Margaret Herbison	Labour
Lancaster	Humphry Berkeley	Conservative
Leeds East	Denis Healey	Labour
Leeds North East	Sir Keith Joseph, Bt.	Conservative
Leeds North West	Donald Kaberry	Conservative
Leeds South	Merlyn Rees	Labour
Leeds South East	Alice Bacon	Labour
Leeds West	Charles Pannell	Labour
Leek	Harold Davies	Labour
Leicester North East	Tom Bradley	Labour
Leicester North West	Barnett Janner	Labour
Leicester South East	John Peel	Conservative
Leicester South West	Herbert Bowden	Labour
Leigh	Harold Boardman	Labour
Leominster	Clive Bossom	Conservative
Lewes	Tufton Beamish	Conservative
Lewisham North	Christopher Chataway	Conservative
Lewisham South	Carol Johnson	Labour
Lewisham West	Patrick McNair-Wilson	Conservative
Leyton	Reginald Sorensen	Labour
Lichfield and Tamworth	Julian Snow	Labour
Lincoln	Dick Taverne	Labour
Liverpool Edge Hill	Arthur Irvine	Labour
Liverpool Exchange	Bessie Braddock	Labour
Liverpool Garston	Richard Bingham	Conservative
Liverpool Kirkdale	James Dunn	Labour
Liverpool Scotland	Walter Alldritt	Labour
Liverpool Toxteth	Richard Crawshaw	Labour
Liverpool Walton	Eric Heffer	Labour
Liverpool Wavertree	John Tilney	Conservative
Liverpool West Derby	Eric Ogden	Labour
Llanelli	Jim Griffiths	Labour
Londonderry	Robin Chichester-Clark	Ulster Unionist
Loughborough	John Cronin	Labour
Louth	Cyril Osborne	Conservative
Lowestoft	Jim Prior	Conservative
Ludlow	Jasper More	Conservative
Luton	William Howie	Labour
Macclesfield	Arthur Vere Harvey	Conservative
Maidstone	John Wells	Conservative
Maldon	Brian Harrison	Conservative
Manchester Ardwick	Leslie Lever	Labour
Manchester Blackley	Paul Rose	Labour
Manchester Cheetham	Harold Lever	Labour
Manchester Exchange	William Griffiths	Labour
Manchester Gorton	Konni Zilliacus	Labour
Manchester Moss Side	Frank Taylor	Conservative
Manchester Openshaw	Charles Morris	Labour
Manchester Withington	Sir Robert Cary, Bt.	Conservative
Manchester Wythenshawe	Alf Morris	Labour
Mansfield	Bernard Taylor	Labour
Melton	Mervyn Pike	Conservative
Meriden	Christopher Rowland	Labour
Merioneth	Thomas Jones	Labour
Merthyr Tydfil	S. O. Davies	Labour
Merton and Morden	Humphrey Atkins	Conservative
Middlesbrough East	Arthur Bottomley	Labour
Middlesbrough West	Jeremy Bray	Labour
Middleton and Prestwich	Sir John Barlow, Bt.	Conservative
Midlothian	James Hill	Labour
Mitcham	Robert Carr	Conservative
Monmouth	Peter Thorneycroft	Conservative
Montgomery	Emlyn Hooson	Liberal
Moray and Nairn	Gordon Campbell	Conservative
Morecambe and Lonsdale	Alfred Hall-Davis	Conservative
Morpeth	Will Owen	Labour
Motherwell	George Lawson	Labour
Nantwich	Robert Grant-Ferris	Conservative
Neath	Donald Coleman	Labour
Nelson and Colne	Sydney Silverman	Labour
New Forest	Oliver Crosthwaite-Eyre	Conservative
Newark	Edward Bishop	Labour
Newbury	Hon. John Astor	Conservative
Newcastle-under-Lyme	Stephen Swingler	Labour
Newcastle upon Tyne Central	Edward Short	Labour
Newcastle upon Tyne East	Geoffrey Rhodes	Labour
Newcastle upon Tyne North	William Elliott	Conservative
Newcastle upon Tyne West	Ernest Popplewell	Labour
Newport	Frank Soskice	Labour
Newton	Fred Lee	Labour
Norfolk Central	Ian Gilmour	Conservative
Norfolk, North	Bert Hazell	Labour
Norfolk, South	John Hill	Conservative
Norfolk, South West	Paul Hawkins	Conservative
Normanton	Albert Roberts	Labour
Northampton	Reginald Paget	Labour
Northamptonshire South	Arthur Jones	Conservative
Northwich	John Foster	Conservative
Norwich North	George Wallace	Labour
Norwich South	Christopher Norwood	Labour
Norwood	Sir John Smyth	Conservative
Nottingham Central	Jack Dunnett	Labour
Nottingham North	William Whitlock	Labour
Nottingham South	William Clark	Conservative
Nottingham West	Michael English	Labour
Nuneaton	Frank Bowles	Labour
Ogmore	Walter Padley	Labour
Oldbury and Halesowen	John Horner	Labour
Oldham East	Charles Mapp	Labour
Oldham West	Leslie Hale	Labour
Orkney and Shetland	Jo Grimond	Liberal
Ormskirk	Douglas Glover	Conservative
Orpington	Eric Lubbock	Liberal
Oswestry	John Biffen	Conservative
Oxford	Montague Woodhouse	Conservative
Paddington North	Ben Parkin	Labour
Paddington South	Robert Allan	Conservative
Paisley	John Robertson	Labour
Peckham	Freda Corbet	Labour
Pembrokeshire	Desmond Donnelly	Labour
Penistone	John Mendelson	Labour
Penrith and the Border	William Whitelaw	Conservative
Perth and East Perthshire	Ian MacArthur	Conservative
Peterborough	Harmar Nicholls	Conservative
Petersfield	Joan Quennell	Conservative
Plymouth Devonport	Joan Vickers	Conservative
Plymouth Sutton	Ian Fraser	Conservative
Pontefract	Joseph Harper	Labour
Pontypool	Leo Abse	Labour
Pontypridd	Arthur Pearson	Labour
Poole	Oscar Murton	Conservative
Poplar	Ian Mikardo	Labour
Portsmouth Langstone	Ian Lloyd	Conservative
Portsmouth South	Jocelyn Lucas	Conservative
Portsmouth West	Terence Clarke	Conservative
Preston North	Julian Amery	Conservative
Preston South	Peter Mahon	Labour
Pudsey	Joseph Hiley	Conservative
Putney	Hugh Jenkins	Labour
Reading	Peter Emery	Conservative
Reigate	John Vaughan-Morgan	Conservative
Renfrewshire East	Betty Harvie Anderson	Conservative
Renfrewshire West	Norman Buchan	Labour
Rhondda East	Elfed Davies	Labour
Rhondda West	Iorwerth Thomas	Labour
Richmond 	Anthony Royle	Conservative
Richmond 	Timothy Kitson	Conservative
Ripon	Sir Malcolm Stoddart-Scott	Conservative
Rochdale	Jack McCann	Labour
Rochester and Chatham	Anne Kerr	Labour
Romford	Ron Ledger	Labour
Ross and Cromarty	Alasdair Mackenzie	Liberal
Rossendale	Anthony Greenwood	Labour
Rother Valley	David Griffiths	Labour
Rotherham	Brian O'Malley	Labour
Rowley Regis and Tipton	Arthur Henderson	Labour
Roxburgh, Selkirk and Peebles	Charles Donaldson	Conservative
Rugby	Roy Wise	Conservative
Ruislip-Northwood	Petre Crowder	Conservative
Runcorn	Mark Carlisle	Conservative
Rushcliffe	Martin Redmayne	Conservative
Rutherglen	Gregor Mackenzie	Labour
Rutland and Stamford	Kenneth Lewis	Conservative
Rye	Godman Irvine	Conservative
Saffron Walden	Rab Butler	Conservative
St Albans	Victor Goodhew	Conservative
St Helens	Leslie Spriggs	Labour
St Ives	Hon. Greville Howard	Conservative & National Liberal
St Marylebone	Quintin Hogg	Conservative
St Pancras North	Kenneth Robinson	Labour
Salford East	Frank Allaun	Labour
Salford West	Stanley Orme	Labour
Salisbury	John Morrison	Conservative
Scarborough and Whitby	Sir Alexander Spearman	Conservative
Sedgefield	Joseph Slater	Labour
Sevenoaks	Sir John Rodgers	Conservative
Sheffield Attercliffe	John Hynd	Labour
Sheffield Brightside	Richard Winterbottom	Labour
