constituency	name	party
Aberavon	Ramsay MacDonald	Labour
Aberdare	George Hall	Labour
Aberdeen North	Frank Rose	Labour
Aberdeen South	Frederick Thomson	Conservative
Aberdeenshire Central	Murdoch McKenzie Wood	Liberal
Aberdeenshire East	Frederick Martin	Liberal
Aberdeenshire West and Kincardine	Hon. Arthur Murray	Liberal
Abertillery	George Barker	Labour
Abingdon	Arthur Loyd	Conservative
Accrington	Charles Buxton	Labour
Acton	Sir Harry Brittain	Conservative
Aldershot	Viscount Wolmer	Conservative
Altrincham	Sir George Hamilton	Conservative
Anglesey	Sir Owen Thomas	Independent Labour
Antrim 	Charles Craig	Ulster Unionist
Antrim 	Hon. Hugh O'Neill	Ulster Unionist
Armagh	Sir William Allen	Ulster Unionist
Argyll	Sir William Sutherland	National Liberal
Ashford	Samuel Strang Steel	Conservative
Ashton-under-Lyne	Sir Walter de Frece	Conservative
Aylesbury	Lionel de Rothschild	Conservative
Ayr Burghs	Sir John Baird, Bt	Conservative
Ayrshire North and Bute	Aylmer Hunter-Weston	Conservative
Ayrshire South	James Brown	Labour
Balham and Tooting	Sir Alfred Butt	Conservative
Banbury	Albert Edmondson	Conservative
Banffshire	Charles Barrie	Liberal
Barkston Ash	George Lane-Fox	Conservative
Barnard Castle	John Rogerson	Conservative
Barnsley	John Potts	Labour
Barnstaple	Basil Peto	Conservative
Barrow-in-Furness	Daniel Somerville	Conservative
Basingstoke	Sir Arthur Holbrook	Conservative
Bassetlaw	Sir William Hume-Williams	Conservative
Bath	Charles Foxcroft	Conservative
Batley and Morley	Ben Turner	Labour
Battersea North	Shapurji Saklatvala	Labour
Battersea South	Francis Curzon	Conservative
Bedford	Richard Wells	Conservative
Bedfordshire Mid	Frederick Linfield	Liberal
Bedwellty	Charles Edwards	Labour
Belfast, East	Herbert Dixon	Ulster Unionist
Belfast, North	Thomas McConnell	Ulster Unionist
Belfast, South	Thomas Moles	Ulster Unionist
Belfast, West	Sir Robert Lynn	Ulster Unionist
Belper	John Hancock	Liberal
Bermondsey West	Alfred Salter	Labour
Berwick and Haddington	Walter Waring	National Liberal
Berwick-on-Tweed	Hilton Philipson	National Liberal
Bethnal Green North-East	Garnham Edmonds	Liberal
Bethnal Green South-West	Percy Harris	Liberal
Bewdley	Stanley Baldwin	Conservative
Birkenhead East	Graham White	Liberal
Birkenhead West	William Henry Stott	Conservative
Birmingham Aston	Evelyn Cecil	Conservative
Birmingham Deritend	Smedley Crooke	Conservative
Birmingham Duddeston	Sir Ernest Hiley	Conservative
Birmingham Edgbaston	Sir Francis Lowe, Bt	Conservative
Birmingham Erdington	Sir Arthur Steel-Maitland, Bt	Conservative
Birmingham Handsworth	Oliver Locker-Lampson	Conservative
Birmingham King's Norton	Sir Herbert Austin	Conservative
Birmingham Ladywood	Neville Chamberlain	Conservative
Birmingham Moseley	Sir Patrick Hannon	Conservative
Birmingham Sparkbrook	Leo Amery	Conservative
Birmingham West	Sir Austen Chamberlain	Conservative
Birmingham Yardley	Alfred Jephcott	Conservative
Bishop Auckland	Ben Spoor	Labour
Blackburn 	Sir Sydney Henn	Conservative
Blackburn 	Sir Henry Norman, Bt	National Liberal
Blackpool	Leonard Molloy	Conservative
Blaydon	William Whiteley	Labour
Bodmin	Isaac Foot	Liberal
Bolton 	William Russell	Conservative
Bolton 	William Edge	National Liberal
Bootle	James Burnie	Liberal
Bosworth	Guy Paget	Conservative
Bothwell	John Robertson	Labour
Bournemouth	Sir Henry Page Croft	Conservative
Bow and Bromley	George Lansbury	Labour
Bradford Central	William Leach	Labour
Bradford East	Fred Jowett	Labour
Bradford North	Archibald Boyd-Carpenter	Conservative
Bradford South	Herbert Harvey Spencer	Liberal
Brecon and Radnor	William Jenkins	National Liberal
Brentford and Chiswick	Walter Morden	Conservative
Bridgwater	Robert Sanders	Conservative
Brigg	Sir Berkeley Sheffield, Bt	Conservative
Brighton 	Sir Cooper Rawson	Conservative
Brighton 	George Tryon	Conservative
