constituency	name	party
Aberavon	William Cove	Labour
Aberdare	Arthur Probert	Labour
Aberdeen North	Hector Hughes	Labour
Aberdeen South	Lady Tweedsmuir	Conservative
Aberdeenshire East	Robert Boothby	Conservative
Aberdeenshire West	Henry Spence	Conservative
Abertillery	Llywelyn Williams	Labour
Abingdon	Airey Neave	Conservative
Accrington	Harry Hynd	Labour
Acton	Joseph Sparks	Labour
Aldershot	Eric Errington	Conservative
Altrincham and Sale	Frederick Erroll	Conservative
Anglesey	Cledwyn Hughes	Labour
Angus North and Mearns	Colin Thornton-Kemsley	Liberal & Conservative
Angus South	Capt. Sir James Duncan Bt.	Conservative
Antrim North	Hon. Phelim O'Neill	Ulster Unionist
Antrim South	Knox Cunningham	Ulster Unionist
Argyll	Duncan McCallum	Conservative
Armagh	C. W. Armstrong	Ulster Unionist
Arundel and Shoreham	Henry Kerby	Conservative
Ashfield	William Warbey	Labour
Ashford	Bill Deedes	Conservative
Ashton-under-Lyne	Hervey Rhodes	Labour
Aylesbury	Spencer Summers	Conservative
Ayr	Thomas Moore	Conservative
Ayrshire Central	Douglas Spencer-Nairn	Conservative
Ayrshire North and Bute	Charles MacAndrew	Conservative
Ayrshire South	Emrys Hughes	Labour
Banbury	Douglas Dodds-Parker	Conservative
Banffshire	William Duthie	Conservative
Barking	Somerville Hastings	Labour
Barkston Ash	Leonard Ropner	Conservative
Barnet	Reginald Maudling	Conservative
Barnsley	Roy Mason	Labour
Barons Court	Thomas Williams	Labour
Barrow-in-Furness	Walter Monslow	Labour
Barry	Raymond Gower	Conservative
Basingstoke	Denzil Freeth	Conservative
Bassetlaw	Fred Bellenger	Labour
Bath	James Pitman	Conservative
Batley and Morley	Alfred Broughton	Labour
Battersea North	Douglas Jay	Labour
Battersea South	Ernest Partridge	Conservative
Bebington	Hendrie Oakshott	Conservative
Beckenham	Patrick Buchan-Hepburn	Conservative
Bedford	Christopher Soames	Conservative
Bedfordshire, Mid	Alan Lennox-Boyd	Conservative
Bedfordshire South	Norman Cole	Conservative
Bedwellty	Harold Finch	Labour
Belfast East	Alan McKibbin	Ulster Unionist
Belfast North	Montgomery Hyde	Ulster Unionist
Belfast South	David Campbell	Ulster Unionist
Belfast West	Patricia McLaughlin	Ulster Unionist
Belper	George Brown	Labour
Bermondsey	Bob Mellish	Labour
Berwick and East Lothian	William Anstruther-Gray	Conservative
Berwick upon Tweed	Antony Lambton	Conservative
Bethnal Green	Percy Holman	Labour
Bexley	Edward Heath	Conservative
Billericay	Richard Body	Conservative
Bilston	Robert Edwards	Labour
Birkenhead	Percy Collick	Labour
Birmingham All Saints	Denis Howell	Labour
Birmingham Aston	Julius Silverman	Labour
Birmingham Edgbaston	Edith Pitt	Conservative
Birmingham Hall Green	Aubrey Jones	Conservative
Birmingham Handsworth	Sir Edward Boyle	Conservative
Birmingham Ladywood	Victor Yates	Labour
Birmingham Northfield	Donald Chapman	Labour
Birmingham Perry Barr	Charles Howell	Labour
Birmingham Selly Oak	Harold Gurden	Conservative
Birmingham Small Heath	William Wheeldon	Labour
Birmingham Sparkbrook	Percy Shurmer	Labour
Birmingham Stechford	Roy Jenkins	Labour
Birmingham Yardley	Henry Usborne	Labour
Bishop Auckland	Hugh Dalton	Labour
Blackburn	Barbara Castle	Labour
Blackpool North	Toby Low	Conservative
Blackpool South	Roland Robinson	Conservative
Blaydon	William Whiteley	Labour
Blyth	Alfred Robens	Labour
Bodmin	Douglas Marshall	Conservative
Bolsover	Harold Neal	Labour
Bolton East	Philip Bell	Conservative
Bolton West	Arthur Holt	Liberal
Bootle	Simon Mahon	Labour
Bosworth	Arthur Allen	Labour
Bothwell	John Timmons	Labour
Bournemouth East and Christchurch	Nigel Nicolson	Conservative
Bournemouth West	John Eden	Conservative
Bradford East	Frank McLeavy	Labour
Bradford North	William Taylor	Conservative
Bradford South	George Craddock	Labour
Bradford West	Arthur Tiley	Conservative
Brecon and Radnor	Tudor Watkins	Labour
Brentford and Chiswick	Percy Lucas	Conservative
Bridgwater	Gerald Wills	Conservative
Bridlington	Hon. Richard Wood	Conservative
Brierley Hill	Charles Simmons	Labour
Brigg	Lance Mallalieu	Labour
Brighouse and Spenborough	John Edwards	Labour
Brighton Kemptown	Howard Johnson	Conservative
Brighton Pavilion	William Teeling	Conservative
Bristol Central	Stan Awbery	Labour
Bristol North East	William Coldrick	Labour
Bristol North West	Thomas Christopher Boyd	Labour
Bristol South	William A. Wilkins	Labour
Bristol South East	Tony Benn	Labour
Bristol West	Walter Monckton	Conservative
Brixton	Marcus Lipton	Labour
Bromley	Harold Macmillan	Conservative
Bromsgrove	James Dance	Conservative
Buckingham	Frank Markham	Conservative
Buckinghamshire South	Ronald Bell	Conservative
Burnley	Wilfrid Burke	Labour
Burton	John Jennings	Conservative
Bury and Radcliffe	John Bidgood	Conservative
Bury St Edmunds	William Aitken	Conservative
Caernarfon	Goronwy Roberts	Labour
Caerphilly	Ness Edwards	Labour
Caithness and Sutherland	David Robertson	Conservative
Cambridge	Hamilton Kerr	Conservative
Cambridgeshire	Gerald Howard	Conservative
Cannock	Jennie Lee	Labour
Canterbury	Leslie Thomas	Conservative
Cardiff North	David Llewellyn	Conservative
Cardiff South East	James Callaghan	Labour
Cardiff West	George Thomas	Labour
Cardiganshire	Roderic Bowen	Liberal
Carlisle	Donald Johnson	Conservative
Carlton	Kenneth Pickthorn	Conservative
Carmarthen	Rhys Hopkin Morris	Liberal
Carshalton	Anthony Head	Conservative
Cheadle	William Shepherd	Conservative
Chelmsford	Hubert Ashton	Conservative
Chelsea	Allan Noble	Conservative
Cheltenham	William W. Hicks Beach	Conservative
Chertsey	Lionel Heald	Conservative
Chester, City of	Basil Nield	Conservative
Chesterfield	George Benson	Labour
Chester-le-Street	Patrick Bartley	Labour
Chichester	Lancelot Joynson-Hicks	Conservative
Chigwell	John Biggs-Davison	Conservative
Chippenham	David Eccles	Conservative
Chislehurst	Patricia Hornsby-Smith	Conservative
Chorley	Clifford Kenyon	Labour
Cirencester and Tewkesbury	William Morrison	Conservative
Cities of London and Westminster	H. Webbe	Conservative
Clapham	Charles Gibson	Labour
Cleveland	Arthur Palmer	Labour
Clitheroe	Richard Fort	Conservative
Coatbridge and Airdrie	Jean Mann	Labour
Colchester	Cuthbert Alport	Conservative
Colne Valley	Glenvil Hall	Labour
Consett	William Stones	Labour
Conway	Peter Thomas	Conservative
