constituency	name	party
Aberavon	John Morris	Labour Party
Aberdeen, North	Robert Hughes	Labour Party
Aberdeen, South	Gerald Malone	Conservative party
Aldershot	Julian Critchley	Conservative party
Aldridge-Brownhills	Richard Shepherd	Conservative Party
Altrincham and Sale	Fergus Montgomery	Conservative Party
Alyn and Deeside	Barry Jones	Labour Party
Amber Valley	Phillip Oppenheim	Conservative Party
Angus East	Peter Fraser	Conservative party
Antrim, East	Roy Beggs	Official Unionist
Antrim, North	Ian Paisley	Democratic Unionist
Antrim, South	Clifford Forsythe	Official Unionist
Argyll and Bute	John MacKay	Conservative party
Arundel	Michael Marshall	Conservative party
Ashfield	Frank Haynes	Labour party
Ashford	Keith Speed	Conservative party
Ashton-under-Lyne	Robert Sheldon	Labour party
Aylesbury	Timothy Raison	Conservative Party
Ayr	George Younger	Conservative Party
Banbury	Tony Baldry	Conservative Party
Banff and Buchan	Albert McQuarrie	Conservative Party
Barking	Jo Richardson	Labour Party
Barnsley, Central	Roy Mason	Labour Party
Barnsley, East	Terry Patchett	Labour Party
Barnsley, West and Penistone	Allen McKay	Labour Party
Barrow and Furness	Cecil Franks	Conservative Party
Basildon	David Amess	Conservative Party
Basingstoke	Andrew Hunter	Conservative Party
Bassetlaw	Joe Ashton	Labour Party
Bath	Chris Patten	Conservative Party
Batley and Spen	Elizabeth Peacock	Conservative Party
Battersea	Alfred Dubs	Labour Party
Beaconsfield	Tim Smith	Conservative Party
Beckenham	Philip Goodhart	Conservative Party
Bedfordshire, Mid	Nicholas Lyell	Conservative Party
Bedfordshire, North	Trevor Skeet	Conservative Party
Bedfordshire, South West	David Madel	Conservative Party
Belfast, East	Peter Robinson	Democratic Unionist Party
Belfast, North	Cecil Walker	Official Unionist
Belfast, South	Martin Smyth	Official Unionist
Belfast, West	Gerry Adams	Provisional Sinn Féin
Berkshire, East	Andrew MacKay	Conservative Party
Berwick-upon-Tweed	Alan Beith	Liberal Party
Bethnal Green and Stepney	Peter Shore	Labour Party
Beverley	Patrick Wall	Conservative Party
Bexhill and Battle	Charles Wardle	Conservative Party
Bexleyheath	Cyril Townsend	Conservative Party
Billericay	Harvey Proctor	Conservative Party
Birkenhead	Frank Field	Labour Party
Birmingham, Edgbaston	Jill Knight	Conservative Party
Birmingham, Erdington	Robin Corbett	Labour Party
Birmingham, Hall Green	Reginald Eyre	Conservative Party
Birmingham, Hodge Hill	Terence Davis	Labour Party
Birmingham, Ladywood	Clare Short	Labour Party
Birmingham, Northfield	Roger King	Conservative Party
Birmingham, Perry Barr	Jeff Rooker	Labour Party
Birmingham, Selly Oak	Anthony Beaumont-Dark	Conservative Party
Birmingham, Small Heath	Denis Howell	Labour Party
Birmingham, Sparkbrook	Roy Hattersley	Labour Party
Birmingham, Yardley	David Bevan	Conservative Party
Bishop Auckland	Derek Foster	Labour Party
Blaby	Nigel Lawson	Conservative Party
Blackburn	Jack Straw	Labour Party
Blackpool, North	Norman Miscampbell	Conservative Party
Blackpool, South	Peter Blaker	Conservative Party
Blaenau Gwent	Michael Foot	Labour Party
Blaydon	John McWilliam	Labour Party
Blyth Valley	John Ryman	Labour Party
Bolsover	Dennis Skinner	Labour Party
Bolton, North East	Peter Thurnham	Conservative Party
Bolton, South East	David Young	Labour Party
Bolton, West	Tom Sackville	Conservative Patty
Boothferry	Paul Bryan	Conservative Party
Bootle	Allan Roberts	Labour Party
Bosworth	Adam Butler	Conservative Party
Bournemouth, East	David Atkinson	Conservative Party
Bournemouth, West	John Butterfill	Conservative Party
Bow and Poplar	Ian Mikardo	Labour Party
Bradford, North	Geoffrey Lawler	Conservative Party
Bradford, South	Thomas Torney	Labour Party
Bradford, West	Max Madden	Labour Party
Braintree	Anthony Newton	Conservative Party
Brecon and Radnor	Tom Hooson	Conservative Party
Brent, East	Reginald Freeson	Labour Party
Brent, North	Rhodes Boyson	Conservative Party
Brent, South	Laurence Pavitt	Labour Co-operative
Brentford and Isleworth	Barney Hayhoe	Conservative Party
Brentwood and Ongar	Robert McCrindle	Conservative Party
Bridgend	Peter Hubbard-Miles	Conservative Party
Bridgwater	Tom King	Conservative Party
Bridlington	John Townend	Conservative Party
Brigg and Cleethorpes	Michael Brown	Conservative Party
Brighton, Kemptown	Andrew Bowden	Conservative Party
Brighton, Pavilion	Julian Amery	Conservative Party
Bristol, East	Jonathan Sayeed	Conservative Party
Bristol, North West	Michael Stern	Conservative Party
Bristol, South	Michael Cocks	Labour Party
Bristol, West	William Waldegrave	Conservative Party
Bromsgrove	Hal Miller	Conservative Party
Broxbourne	Marion Roe	Conservative Party
Broxtowe	Jim Lester	Conservative Party
Buckingham	George Walden	Conservative Party
Burnley	Peter Pike	Labour Party
Burton	Ivan Lawrence	Conservative Party
Bury, North	Alistair Burt	Conservative Party
Bury, South	David Sumberg	Conservative Party
Bury St Edmunds	Eldon Griffiths	Conservative Party
Caernarfon	Dafydd Wigley	Plaid Cymru
Caerphilly	Ron Davies	Labour
Caithness and Sutherland	Bob Maclennan	Social Democrat
Calder Valley	Donald Thompson	Conservative
Cambridge	Robert Rhodes James	Conservative
Cambridgeshire, North East	Clement Freud	Liberal
Cambridgeshire, South East	Francis Pym	Conservative
Cambridgeshire, South West	Anthony Grant	Conservative
Cannock and Burntwood	Gerald Howarth	Conservative
Canterbury	David Crouch	Conservative
Cardiff, Central	Ian Grist	Conservative
Cardiff, North	Gwilym Jones	Conservative
Cardiff, South and Penarth	James Callaghan	Labour
Cardiff, West	Stefan Terlezki	Conservative
Carlisle	Ronald Lewis	Labour
Carmarthen	Roger Thomas	Labour
Carrick, Cumnock and Doon Valley	George Foulkes	Labour Co-operative
Carshalton and Wallington	Nigel Forman	Conservative
Castle Point	Bernard Braine	Conservative
Ceredigion and Pembroke North	Geraint Howells	Liberal
Cheadle	Tom Normanton	Conservative
Chelmsford	Norman St John-Stevas	Conservative
Chelsea	Nicholas Scott	Conservative
Cheltenham	Charles Irving	Conservative
Chertsey and Walton	Geoffrey Pattie	Conservative
Chesham and Amersham	Ian Gilmour	Conservative
Chester, City of	Peter Morrison	Conservative
Chesterfield	Eric Varley	Labour
Chichester	Anthony Nelson	Conservative
Chingford	Norman Tebbit	Conservative
Chipping Barnet	Sydney Chapman	Conservative
Chislehurst	Roger Sims	Conservative
Chorley	Den Dover	Conservative
Christchurch	Robert Adley	Conservative
Cirencester and Tewkesbury	Nicholas Ridley	Conservative
City of London and Westminster South	Peter Brooke	Conservative
Clackmannan	Martin O'Neill	Labour
Clwyd, North West	Anthony Meyer	Conservative
Clwyd, South West	Robert Harvey	Conservative
Clydebank and Milngavie	Hugh McCartney	Labour
Clydesdale	Judith Hart	Labour
Colchester, North	Antony Buck	Conservative
Colchester, South and Maldon	John Wakeham	Conservative
Colne Valley	Richard Wainwright	Liberal
Congleton	Ann Winterton	Conservative
Conwy	Wyn Roberts	Conservative
Copeland	Jack Cunningham	Labour
Corby	William Powell	Conservative
Cornwall, North	Gerry Neale	Conservative
Cornwall, South East	Robert Hicks	Conservative
Coventry, North East	George Park	Labour
Coventry, North West	Geoffrey Robinson	Labour
Coventry, South East	David Nellist	Labour
Coventry, South West	John Butcher	Conservative
Crawley	Nicholas Soames	Conservative
Crewe and Nantwich	Gwyneth Dunwoody	Labour
Crosby	Malcolm Thornton	Conservative
Croydon, Central	John Moore	Conservative
Croydon, North East	Bernard Weatherill	Conservative
Croydon, North West	Humfrey Malins	Conservative
Croydon, South	William Clark	Conservative
Cumbernauld and Kilsyth	Norman Hogg	Labour
Cunninghame, North	John Corrie	Conservative
Cunninghame, South	David Lambie	Labour
Cynon Valley	Ioan Evans	Labour Co-operative
Dagenham	Bryan Gould	Labour
Darlington	Michael Fallon	Conservative
Dartford	Bob Dunn	Conservative
Daventry	Reginald Prentice	Conservative
Davyhulme	Winston Churchill	Conservative
Delyn	Keith Raffan	Conservative
Denton and Reddish	Andrew Bennett	Labour
Derby, North	Gregory Knight	Conservative
Derby, South	Margaret Beckett	Labour
Derbyshire, North East	Raymond Ellis	Labour
Derbyshire, South	Edwina Currie	Conservative
Derbyshire, West	Matthew Parris	Conservative
Devizes	Charles Morrison	Conservative
Devon, North	Tony Speller	Conservative
Devon, West and Torridge	Peter Mills	Conservative
Dewsbury	John Whitfield	Conservative
Doncaster, Central	Harold Walker	Labour
Doncaster, North	Michael Welsh	Labour
Don Valley	Martin Redmond	Labour
Dorset, North	Nicholas Baker	Conservative
Dorset, South	Robert Gascoyne-Cecil	Conservative
Dorset, West	Jim Spicer	Conservative
Dover	Peter Rees	Conservative
Down, North	James Kilfedder	Ulster Popular Unionist
Down, South	Enoch Powell	Official Unionist
Dudley, East	John Gilbert	Labour
Dudley, West	John Blackburn	Conservative
Dulwich	Gerald Bowden	Conservative
Dumbarton	Ian Campbell	Labour
Dumfries	Hector Monro	Conservative
Dundee, East	Gordon Wilson	Scottish National Party
Dundee, West	Ernie Ross	Labour
Dunfermline, East	Gordon Brown	Labour
Dunfermline, West	Dick Douglas	Labour Co-operative
Durham, City of	Mark Hughes	Labour
Durham, North	Giles Radice	Labour
Durham, North West	Ernest Armstrong	Labour
Ealing, Acton	George Young	Conservative
