By-election	Date	Incumbent	PartyOld	Winner	PartyNew	Cause
Liverpool Edge Hill	29 March 1979	Sir Arthur Irvine	Labour	David Alton	Liberal	Death
Knutsford	1 March 1979	John Davies	Conservative	Jock Bruce-Gardyne	Conservative	Resignation on medical advice
Clitheroe	1 March 1979	David Walder	Conservative	David Waddington	Conservative	Death
Pontefract and Castleford	26 October 1978	Joe Harper	Labour	Geoffrey Lofthouse	Labour	Death
Berwick and East Lothian	26 October 1978	John Mackintosh	Labour	John Home Robertson	Labour	Death
Penistone	13 July 1978	John Mendelson	Labour	Allen McKay	Labour	Death
Manchester Moss Side	13 July 1978	Frank Hatton	Labour	George Morton	Labour	Death
Hamilton	31 May 1978	Alexander Wilson	Labour	George Robertson	Labour	Death
Wycombe	27 April 1978	Sir John Hall	Conservative	Ray Whitney	Conservative	Death
Epsom and Ewell	27 April 1978	Peter Rawlinson	Conservative	Archie Hamilton	Conservative	Life peerage
Lambeth Central	20 April 1978	Marcus Lipton	Labour	John Tilley	Labour	Death
Glasgow Garscadden	13 April 1978	William Small	Labour	Donald Dewar	Labour	Death
Ilford North	2 March 1978	Millie Miller	Labour	Vivian Bendall	Conservative	Death
Bournemouth East	24 November 1977	John Cordle	Conservative	David Atkinson	Conservative	Resignation: found in contempt of the House
Birmingham Ladywood	18 August 1977	Brian Walden	Labour	John Sever	Labour	Appointment as presenter of LWT programme Weekend World
Saffron Walden	7 July 1977	Sir Peter Kirk	Conservative	Alan Haselhurst	Conservative	Death
Grimsby	28 April 1977	Anthony Crosland	Labour	Austin Mitchell	Labour	Death
Ashfield	28 April 1977	David Marquand	Labour	Tim Smith	Conservative	New career as Chief of Staff to Roy Jenkins
Birmingham Stechford	31 March 1977	Roy Jenkins	Labour	Andrew MacKay	Conservative	President of the European Commission
City of London and Westminster South	24 February 1977	Christopher Tugendhat	Conservative	Peter Brooke	Conservative	European Commissioner
Cambridge	2 December 1976	David Lane	Conservative	Robert Rhodes James	Conservative	New career as chairman for the Commission for Racial Equality
Workington	4 November 1976	Fred Peart	Labour	Richard Page	Conservative	Life peerage on appointment as Leader of the House of Lords
Walsall North	4 November 1976	John Stonehouse	Labour/English National	Robin Hodgson	Conservative	Resignation (convicted of insurance fraud)
Newcastle-upon-Tyne Central	4 November 1976	Edward Short	Labour	Harry Cowans	Labour	New career as chairman of Cable & Wireless
Thurrock	15 July 1976	Hugh Delargy	Labour	Oonagh McDonald	Labour	Death
Rotherham	24 June 1976	Brian O'Malley	Labour	Stanley Crowther	Labour	Death
Wirral	11 March 1976	Selwyn Lloyd	Speaker	David Hunt	Conservative	Life peerage
Carshalton	11 March 1976	Robert Carr	Conservative	Nigel Forman	Conservative	Life peerage
Coventry North West	4 March 1976	Maurice Edelman	Labour	Geoffrey Robinson	Labour	Death
Woolwich West	26 June 1975	William Hamling	Labour	Peter Bottomley	Conservative	Death
Newham South	23 May 1974	Sir Elwyn Jones	Labour	Nigel Spearing	Labour	Life peerage on appointment as Lord High Chancellor of Great Britain
By-election	Date	Incumbent	Party	Winner	Party	Cause
Hove	8 November 1973	Martin Maddan	Conservative	Timothy Sainsbury	Conservative	Death
Glasgow Govan	8 November 1973	John Rankin	Labour	Margo MacDonald	SNP	Death
Edinburgh North	8 November 1973	Earl of Dalkeith	Conservative	Alexander Fletcher	Conservative	Succession to the Peerage
Berwick-upon-Tweed	8 November 1973	Antony Lambton	Conservative	Alan Beith	Liberal	Resignation (scandal)
Ripon	26 July 1973	Malcolm Stoddart-Scott	Conservative	David Austick	Liberal	Death
Isle of Ely	26 July 1973	Harry Legge-Bourke	Conservative	Clement Freud	Liberal	Death
Manchester Exchange	27 June 1973	William Griffiths	Labour	Frank Hatton	Labour	Death
Westhoughton	24 May 1973	Tom Price	Labour	Roger Stott	Labour	Death
West Bromwich	24 May 1973	Maurice Foley	Labour	Betty Boothroyd	Labour	Appointment to the European Commission staff
Lincoln	1 March 1973	Dick Taverne	Labour/Democratic Labour	Dick Taverne	Democratic Labour	Sought re-election upon change of party allegiance
Dundee East	1 March 1973	George Thomson	Labour	George Machin	Labour	Appointment as European Commissioner
Chester-le-Street	1 March 1973	Norman Pentland	Labour	Giles Radice	Labour	Death
Uxbridge	7 December 1972	Charles Curran	Conservative	Michael Shersby	Conservative	Death
Sutton and Cheam	7 December 1972	Richard Sharples	Conservative	Graham Tope	Liberal	Governor of Bermuda
Rochdale	26 October 1972	Jack McCann	Labour	Cyril Smith	Liberal	Death
Southwark	4 May 1972	Ray Gunter	Labour/Independent Labour	Harry Lamborn	Labour	Resignation (dispute with party)
Kingston-upon-Thames	4 May 1972	John Boyd-Carpenter	Conservative	Norman Lamont	Conservative	Chairman of Civil Aviation Authority
Merthyr Tydfil	13 April 1972	S. O. Davies	Independent Labour	Edward Rowlands	Labour	Death
Macclesfield	30 September 1971	Sir Arthur Vere Harvey	Conservative	Nicholas Winterton	Conservative	Life peerage
Widnes	23 September 1971	James Eugene McColl	Labour	Gordon Oakes	Labour	Death
Stirling and Falkirk	16 September 1971	Malcolm Macpherson	Labour	Harry Ewing	Labour	Death
Greenwich	8 July 1971	Richard Marsh	Labour	Guy Barnett	Labour	Chairman of British Rail
Hayes and Harlington	17 June 1971	Arthur Skeffington	Labour	Neville Sandelson	Labour	Death
Goole	27 May 1971	George Jeger	Labour	Edmund Marshall	Labour	Death
Bromsgrove	27 May 1971	James Dance	Conservative	Terry Davis	Labour	Death
Southampton Itchen	27 May 1971	Horace King	Speaker	Bob Mitchell	Labour	Life peerage
Arundel and Shoreham	1 April 1971	Henry Kerby	Conservative	Richard Luce	Conservative	Death
Liverpool Scotland	1 April 1971	Walter Alldritt	Labour	Frank Marsden	Labour	Resignation
Enfield West	19 November 1970	Iain Macleod	Conservative	Cecil Parkinson	Conservative	Death
St Marylebone	22 October 1970	Quintin Hogg	Conservative	Kenneth Baker	Conservative	Life peerage on appointment as Lord High Chancellor of Great Britain
South Ayrshire	19 March 1970	Emrys Hughes	Labour	James Sillars	Labour	Death
Bridgwater	12 March 1970	Gerald Wills	Conservative	Tom King	Conservative	Death
Wellingborough	4 December 1969	Harry Howarth	Labour	Peter Fry	Conservative	Death
Louth	4 December 1969	Sir Cyril Osborne	Conservative	Jeffrey Archer	Conservative	Death
Swindon	30 October 1969	Francis Noel-Baker	Labour	Christopher Ward	Conservative	Resignation
Paddington North	30 October 1969	Ben Parkin	Labour	Arthur Latham	Labour	Death
Newcastle-under-Lyme	30 October 1969	Stephen Swingler	Labour	John Golding	Labour	Death
Islington North	30 October 1969	Gerald Reynolds	Labour	Michael O'Halloran	Labour	Death
Glasgow Gorbals	30 October 1969	Alice Cullen	Labour	Frank McElhone	Labour	Death
Birmingham Ladywood	26 June 1969	Victor Yates	Labour	Wallace Lawler	Liberal	Death
Chichester	22 May 1969	Walter Loveys	Conservative	Christopher Chataway	Conservative	Death
Mid Ulster	17 April 1969	George Forrest	UUP	Bernadette Devlin	Unity	Death
Weston-super-Mare	27 March 1969	David Webster	Conservative	Jerry Wiggin	Conservative	Death
Walthamstow East	27 March 1969	William Robinson	Labour	Michael McNair-Wilson	Conservative	Death
Brighton Pavilion	27 March 1969	Sir William Teeling	Conservative	Julian Amery	Conservative	Resignation
New Forest	7 November 1968	Oliver Crosthwaite-Eyre	Conservative	Patrick McNair-Wilson	Conservative	Resignation
Bassetlaw	31 October 1968	Frederick Bellenger	Labour	Joseph Ashton	Labour	Death
Caerphilly	18 July 1968	Ness Edwards	Labour	Alfred Evans	Labour	Death
Nelson and Colne	27 June 1968	Sydney Silverman	Labour	David Waddington	Conservative	Death
Sheffield Brightside	13 June 1968	Richard Winterbottom	Labour	Edward Griffiths	Labour	Death
Oldham West	13 June 1968	Leslie Hale	Labour	Bruce Campbell	Conservative	Resignation
Warwick and Leamington	28 March 1968	John Hobson	Conservative	Dudley Smith	Conservative	Death
Meriden	28 March 1968	Christopher Rowland	Labour	Keith Speed	Conservative	Death
Dudley	28 March 1968	George Wigg	Labour	Donald Williams	Conservative	Life peerage on appointment as chairman of Horserace Betting Levy Board
Acton	28 March 1968	Bernard Floud	Labour	Kenneth Baker	Conservative	Death (suicide)
Kensington South	14 March 1968	William Roots	Conservative	Sir Brandon Rhys Williams	Conservative	Resignation (ill-health?)
Derbyshire West	23 November 1967	Aidan Crawley	Conservative	James Scott-Hopkins	Conservative	Appointment as chairman of London Weekend Television
Manchester Gorton	2 November 1967	Konni Zilliacus	Labour	Kenneth Marks	Labour	Death
Leicester South West	2 November 1967	Herbert Bowden	Labour	Thomas Boardman	Conservative	Appointment as chairman of Independent Television Authority
Hamilton	2 November 1967	Thomas Fraser	Labour	Winifred Ewing	SNP	Appointment to North Scotland Hydro-Electricity Board
Walthamstow West	21 September 1967	Edward Redhead	Labour	Frederick Silvester	Conservative	Death
Cambridge	21 September 1967	Robert Davies	Labour	David Lane	Conservative	Death
Brierley Hill	27 April 1967	John Talbot	Conservative	Fergus Montgomery	Conservative	Death
Honiton	16 March 1967	Robert Mathew	Conservative	Peter Emery	Conservative	Death
Rhondda West	9 March 1967	Iorwerth Thomas	Labour	Alec Jones	Labour	Death
Nuneaton	9 March 1967	Frank Cousins	Labour	Leslie Huckfield	Labour	Resignation
Glasgow Pollok	9 March 1967	Alexander Garrow	Labour	Esmond Wright	Conservative	Death
Carmarthen	14 July 1966	Megan Lloyd George	Labour	Gwynfor Evans	Plaid Cymru	Death
Kingston upon Hull North	27 January 1966	Henry Solomons	Labour	Kevin McNamara	Labour	Death
Erith and Crayford	11 November 1965	Norman Dodds	Labour	James Wellbeloved	Labour	Death
Cities of London and Westminster	4 November 1965	Sir Harry Hylton-Foster	Speaker	John Smith	Conservative	Death
Hove	22 July 1965	Anthony Marlowe	Conservative	Martin Maddan	Conservative	Resignation (ill-health)
Birmingham Hall Green	6 May 1965	Aubrey Jones	Conservative	Reginald Eyre	Conservative	Appointment as chairman of National Board for Prices and Incomes
Abertillery	1 April 1965	Llywelyn Williams	Labour	Clifford Williams	Labour	Death
Roxburgh, Selkirk and Peebles	24 March 1965	Charles Donaldson	Conservative	David Steel	Liberal	Death
Saffron Walden	23 March 1965	R. A. Butler	Conservative	Peter Kirk	Conservative	Life peerage
Salisbury	4 February 1965	John Morrison	Conservative	Michael Hamilton	Conservative	Hereditary peerage
East Grinstead	4 February 1965	Evelyn Emmet	Conservative	Geoffrey Johnson Smith	Conservative	Life peerage
Altrincham and Sale	4 February 1965	Fred Erroll	Conservative	Anthony Barber	Conservative	Hereditary peerage
Nuneaton	21 January 1965	Frank Bowles	Labour	Frank Cousins	Labour	Life peerage to provide seat for Minister of Technology Frank Cousins
Leyton	21 January 1965	Reg Sorensen	Labour	Ronald Buxton	Conservative	Life peerage to provide seat for Foreign Secretary Patrick Gordon Walker
Liverpool Scotland	11 June 1964	David Logan	Labour	Walter Alldritt	Labour	Death
Faversham	4 June 1964	Percy Wells	Labour	Terence Boston	Labour	Death
Winchester	14 May 1964	Peter Smithers	Conservative	Morgan Morgan-Giles	Conservative	Appointment as Secretary-General of Council of Europe
Rutherglen	14 May 1964	Richard Brooman-White	Conservative	Gregor Mackenzie	Labour	Death
Devizes	14 May 1964	Percivall Pott	Conservative	Charles Morrison	Conservative	Death
Bury St Edmunds	14 May 1964	Sir William Aitken	Conservative	Eldon Griffiths	Conservative	Death
Dumfriesshire	12 December 1963	Niall MacPherson	Conservative	David Anderson	Conservative	Hereditary peerage
Sudbury and Woodbridge	5 December 1963	John Hare	Conservative	Keith Stainton	Conservative	Hereditary peerage
St Marylebone	5 December 1963	Sir Wavell Wakefield	Conservative	Quintin Hogg	Conservative	Hereditary peerage
Manchester Openshaw	5 December 1963	William Williams	Labour	Charles Morris	Labour	Death
Dundee West	21 November 1963	John Strachey	Labour	Peter Doig	Labour	Death
Luton	7 November 1963	Dr. Charles Hill	Conservative	Will Howie	Labour	Life peerage on appointment as chairman of Independent Television Authority
Kinross and Western Perthshire	7 November 1963	Gilmour Leburn	Conservative	Sir Alec Douglas-Home	Conservative	Death
Belfast South	22 October 1963	Sir David Campbell	UUP	Rafton Pounder	UUP	Death
Bristol South East	20 August 1963	Malcolm St Clair	Conservative	Tony Benn	Labour	Resignation
Stratford	15 August 1963	John Profumo	Conservative	Angus Maude	Conservative	Resignation (lying to the House of Commons)
West Bromwich	4 July 1963	John Dugdale	Labour	Maurice Foley	Labour	Death
Deptford	4 July 1963	Sir Leslie Plummer	Labour	John Silkin	Labour	Death
Leeds South	20 June 1963	Hugh Gaitskell	Labour	Merlyn Rees	Labour	Death
Swansea East	28 March 1963	David Mort	Labour	Neil McBride	Labour	Death
Rotherham	28 March 1963	Jack Jones	Labour	Brian O'Malley	Labour	Death (road accident)
Colne Valley	21 March 1963	Glenvil Hall	Labour	Patrick Duffy	Labour	Death
Northamptonshire South	22 November 1962	Sir Reginald Manningham-Buller	Conservative	Arthur Jones	Conservative	Hereditary peerage on appointment as Lord High Chancellor of Great Britain
Norfolk Central	22 November 1962	Richard Collard	Conservative	Ian Gilmour	Conservative	Death
Glasgow Woodside	22 November 1962	William Grant	Conservative	Neil Carmichael	Labour	Appointment as Lord Justice Clerk
Dorset South	22 November 1962	Viscount Hinchingbrooke	Conservative	Guy Barnett	Labour	Succession to peerage
Chippenham	22 November 1962	David Eccles	Conservative	Daniel Awdry	Conservative	Hereditary peerage
