constituency	name	party
Aberavon	Ramsay MacDonald	Labour
Aberdare	George Hall	Labour
Aberdeen North	Frank Rose	Labour
Aberdeen South	Frederick Thomson	Conservative
Aberdeenshire Central	Murdoch McKenzie Wood	Liberal
Aberdeenshire East	Frederick Martin	Liberal
Aberdeenshire West and Kincardine	Malcolm Barclay-Harvey	Conservative
Abertillery	George Barker	Labour
Abingdon	Edward Lessing	Liberal
Accrington	Hugh Edwards	Liberal
Acton	Sir Harry Brittain	Conservative
Aldershot	Viscount Wolmer	Conservative
Altrincham	Robert Alstead	Liberal
Anglesey	Sir Robert Thomas, Bt	Liberal
Antrim 	Charles Craig	Ulster Unionist
Antrim 	Hon. Hugh O'Neill	Ulster Unionist
Argyll	Sir William Sutherland	Liberal
Armagh	William Allen	Ulster Unionist
Ashford	Samuel Strang Steel	Conservative
Ashton-under-Lyne	Sir Walter de Frece	Conservative
Aylesbury	Thomas Keens	Liberal
Ayr Burghs	Sir John Baird, Bt	Conservative
Ayrshire North and Bute	Aylmer Hunter-Weston	Conservative
Ayrshire South	James Brown	Labour
Balham and Tooting	Sir Alfred Butt	Conservative
Banbury	Albert Edmondson	Conservative
Banff	Charles Barrie	Liberal
Barkston Ash	George Lane-Fox	Conservative
Barnard Castle	Moss Turner-Samuels	Labour
Barnsley	John Potts	Labour
Barnstaple	Tudor Rees	Liberal
Barrow-in-Furness	Daniel Somerville	Conservative
Basingstoke	Reginald Fletcher	Liberal
Bassetlaw	Sir Ellis Hume-Williams	Conservative
Bath	Frank Raffety	Liberal
Batley and Morley	Ben Turner	Labour
Battersea North	Henry Hogbin	Liberal
Battersea South	Francis Curzon	Conservative
Bedford	Sydney Wells	Conservative
Bedfordshire Mid	Frederick Linfield	Liberal
Bedwellty	Charles Edwards	Labour
Belfast, East	Herbert Dixon	Ulster Unionist
Belfast, North	Thomas McConnell	Ulster Unionist
Belfast, South	Thomas Moles	Ulster Unionist
Belfast, West	Sir Robert Lynn	Ulster Unionist
Belper	Herbert Wragg	Conservative
Bermondsey West	Roderick Kedward	Liberal
Berwick-on-Tweed	Mabel Philipson	Conservative
Berwick and Haddington	Robert Spence	Labour
Bethnal Green North-East	Walter Windsor	Labour
Bethnal Green South-West	Percy Harris	Liberal
Bewdley	Stanley Baldwin	Conservative
Birkenhead East	Graham White	Liberal
Birkenhead West	William Henry Egan	Labour
Birmingham Aston	Sir Evelyn Cecil	Conservative
Birmingham Deritend	Smedley Crooke	Conservative
Birmingham Duddeston	John Burman	Conservative
Birmingham Edgbaston	Sir Francis Lowe, Bt	Conservative
Birmingham Erdington	Sir Arthur Steel-Maitland, Bt	Conservative
Birmingham Handsworth	Oliver Locker-Lampson	Conservative
Birmingham King's Norton	Sir Herbert Austin	Conservative
Birmingham Ladywood	Neville Chamberlain	Conservative
Birmingham Moseley	Patrick Hannon	Conservative
Birmingham Sparkbrook	Leo Amery	Conservative
Birmingham West	Sir Austen Chamberlain	Conservative
Birmingham Yardley	Alfred Jephcott	Conservative
Bishop Auckland	Ben Spoor	Labour
Blackburn 	Sir Sydney Henn	Conservative
Blackburn 	John Duckworth	Liberal
Blackpool	Hugh Meyler	Liberal
Blaydon	William Whiteley	Labour
Bodmin	Isaac Foot	Liberal
Bolton 	Sir Herbert Cunliffe	Conservative
Bolton 	Albert Law	Labour
Bootle	James Burnie	Liberal
Bosworth	George Ward	Liberal
Bothwell	John Robertson	Labour
Bournemouth	Sir Henry Page Croft	Conservative
Bow and Bromley	George Lansbury	Labour
Bradford Central	William Leach	Labour
Bradford East	Fred Jowett	Labour
Bradford North	Walter Rea	Liberal
Bradford South	Herbert Harvey Spencer	Liberal
Brecon and Radnor	William Jenkins	Liberal
Brentford and Chiswick	Walter Morden	Conservative
Bridgwater	William Morse	Liberal
Brigg	Sir Berkeley Sheffield, Bt	Conservative
Brighton 	George Tryon	Conservative
Brighton 	Sir Cooper Rawson	Conservative
Bristol Central	Thomas Inskip	Conservative
Bristol East	Walter Baker	Labour
