constituency	name	party
Aberavon	William Cove	Labour
Aberdare	George Hall	Labour
Aberdeen North	John George Burnett	Conservative
Aberdeen South	Sir Frederick Thomson, Bt	Conservative
Aberdeenshire Central	Robert Smith	Conservative
Aberdeenshire East	Robert Boothby	Conservative
Aberdeenshire West and Kincardine	Malcolm Barclay-Harvey	Conservative
Abertillery	George Daggar	Labour
Abingdon	Ralph Glyn	Conservative
Accrington	Henry Procter	Conservative
Acton	Hubert Duggan	Conservative
Aldershot	Roundell Palmer	Conservative
Altrincham	Cyril Atkinson	Conservative
Anglesey	Megan Lloyd George	Independent Liberal
Antrim 	Hon. Sir Hugh O'Neill	Ulster Unionist
Antrim 	Sir Joseph McConnell, Bt	Ulster Unionist
Argyllshire	Frederick Macquisten	Conservative
Armagh	Sir William Allen	Ulster Unionist
Ashford	Hon. Michael Knatchbull	Conservative
Ashton-under-Lyne	John Broadbent	Conservative
Aylesbury	Michael Beaumont	Conservative
Ayr Burghs	Thomas Moore	Conservative
Ayrshire North and Bute	Sir Aylmer Hunter-Weston	Conservative
Ayrshire South	James MacAndrew	Conservative
Balham and Tooting	Sir Alfred Butt, Bt	Conservative
Banbury	Albert Edmondson	Conservative
Banffshire	Sir Murdoch McKenzie Wood	Liberal
Barkston Ash	Leonard Ropner	Conservative
Barnard Castle	Cuthbert Headlam	Conservative
Barnsley	Richard John Soper	Liberal National
Barnstaple	Sir Basil Peto, Bt	Conservative
Barrow-in-Furness	Sir Jonah Walker-Smith	Conservative
Basingstoke	Viscount Lymington	Conservative
Bassetlaw	Malcolm MacDonald	National Labour
Bath	Loel Guinness	Conservative
Batley and Morley	Wilfrid Wills	Conservative
Battersea North	Arthur Marsden	Conservative
Battersea South	Harry Selley	Conservative
Bedford	Richard Wells	Conservative
Bedfordshire Mid	Alan Lennox-Boyd	Conservative
Bedwellty	Charles Edwards	Labour
Belfast, East	Herbert Dixon	Ulster Unionist
Belfast, North	Thomas Somerset	Ulster Unionist
Belfast, South	William Stewart	Ulster Unionist
Belfast, West	Alexander Browne	Ulster Unionist
Belper	Herbert Wragg	Conservative
Bermondsey West	Alfred Salter	Labour
Berwick-on-Tweed	Alfred Todd	Conservative
Berwick and Haddington	John McEwen	Conservative
Bethnal Green North-East	Harry Nathan	Liberal
Bethnal Green South-West	Percy Harris	Liberal
Bewdley	Rt Hon. Stanley Baldwin	Conservative
Birkenhead East	Graham White	Liberal
Birkenhead West	John Sandeman Allen	Conservative
Birmingham Aston	Arthur Hope	Conservative
Birmingham Deritend	Smedley Crooke	Conservative
Birmingham Duddeston	Oliver Simmonds	Conservative
Birmingham Edgbaston	Rt Hon. Neville Chamberlain	Conservative
Birmingham Erdington	John Eales	Conservative
Birmingham Handsworth	Oliver Locker-Lampson	Conservative
Birmingham King's Norton	Lionel Beaumont-Thomas	Conservative
Birmingham Ladywood	Geoffrey Lloyd	Conservative
Birmingham Moseley	Patrick Hannon	Conservative
Birmingham Sparkbrook	Rt Hon. Leo Amery	Conservative
Birmingham West	Rt Hon. Sir Austen Chamberlain	Conservative
Birmingham Yardley	Edward Salt	Conservative
Bishop Auckland	Aaron Curry	Liberal National
Blackburn 	Sir W. D. Smiles	Conservative
Blackburn 	George Elliston	Conservative
Blackpool	Clifford Erskine-Bolst	Conservative
Blaydon	Thomas Martin	Conservative
Bodmin	Isaac Foot	Liberal
Bolton 	Cyril Entwistle	Conservative
Bolton 	Sir John Haslam	Conservative
Bootle	Chichester Crookshank	Conservative
Bosworth	William Edge	Liberal National
Bothwell	Helen Shaw	Conservative
Bournemouth	Sir Henry Page Croft	Conservative
Bow and Bromley	Rt Hon. George Lansbury	Labour
Bradford Central	George Eady	Conservative
Bradford East	Joseph Hepworth	Conservative
Bradford North	Sir Eugene Ramsden	Conservative
Bradford South	Herbert Holdsworth	Liberal
Brecon and Radnor	Walter Hall	Conservative
Brentford and Chiswick	Harold Mitchell	Conservative
Bridgwater	Reginald Croom-Johnson	Conservative
Brigg	Michael Hunter	Conservative
Brighton 	Sir Cooper Rawson	Conservative
Brighton 	Rt Hon. Sir George Tryon	Conservative
Bristol Central	Lord Apsley	Conservative
Bristol East	Sir Stafford Cripps	Labour
Bristol North	Robert Bernays	Liberal
Bristol South	Noel Ker-Lindsay	Conservative
Bristol West	Cyril Thomas Culverwell	Conservative
Brixton	Nigel Colman	Conservative
Bromley	Sir Edward Campbell	Conservative
Broxtowe	Seymour Cocks	Labour
Buckingham	Sir George Bowyer	Conservative
Buckrose	Albert Braithwaite	Conservative
Burnley	Gordon Campbell	National
Burslem	William Allen	National
Burton	Rt Hon. John Gretton	Conservative
Bury	Charles Ainsworth	Conservative
Bury St. Edmunds	Frank Heilgers	Conservative
Caerphilly	Morgan Jones	Labour
Caithness and Sutherland	Rt Hon. Sir Archibald Sinclair, Bt	Liberal
Camberwell North	Arthur Bateman	Conservative
Camberwell North West	James Cassels	Conservative
Camborne	Peter Agnew	Conservative
Cambridge	Sir George Newton	Conservative
Cambridge University 	Sir John Withers	Conservative
Cambridge University 	Godfrey Wilson	Conservative
Cambridgeshire	Richard Briscoe	Conservative
Cannock	Sarah Ward	Conservative
Canterbury	Sir William Wayland	Conservative
Cardiff Central	Sir Ernest Bennett	National Labour
Cardiff East	Owen Temple-Morris	Conservative
Cardiff South	Arthur Evans	Conservative
Cardiganshire	Rhys Hopkin Morris	Liberal
Carlisle	Louis Spears	Conservative
Carmarthen	Richard Thomas Evans	Liberal
Carnarvon Boroughs	Rt Hon. David Lloyd George	Independent Liberal
Carnarvonshire	Goronwy Owen	Independent Liberal
Chatham	Park Goff	Conservative
Chelmsford	Sir Vivian Henderson	Conservative
Chelsea	Rt Hon. Sir Samuel Hoare, Bt	Conservative
Cheltenham	Sir Walter Preston	Conservative
Chertsey	Sir Archibald Boyd-Carpenter	Conservative
City of Chester	Sir Charles Cayzer, Bt	Conservative
Chesterfield	Roger Conant	Conservative
Chester-le-Street	Jack Lawson	Labour
Chichester	John Courtauld	Conservative
Chippenham	Victor Cazalet	Conservative
Chislehurst	Waldron Smithers	Conservative
Chorley	Rt Hon. Douglas Hacking	Conservative
Cirencester and Tewkesbury	William Morrison	Conservative
City of London 	Sir Vansittart Bowater, Bt	Conservative
City of London 	Edward Grenfell	Conservative
Clapham	Sir John Leigh, Bt	Conservative
Clay Cross	Charles Duncan	Labour
Cleveland	Robert Bower	Conservative
Clitheroe	Sir William Brass	Conservative
Coatbridge	William Templeton	Conservative
Colchester	Oswald Lewis	Conservative
Colne Valley	Lance Mallalieu	Liberal
Combined English Universities 	Eleanor Rathbone	Independent
Combined English Universities 	Sir Reginald Craddock	Conservative
Combined Scottish Universities 	Dugald Cowan	Liberal
Combined Scottish Universities 	John Buchan	Conservative
Combined Scottish Universities 	Noel Skelton	Conservative
Consett	John Dickie	Liberal National
Cornwall North	Rt Hon. Sir Donald Maclean	Liberal
Coventry	William Strickland	Conservative
Crewe	Sir Donald Somervell	Conservative
Croydon North	Glyn Mason	Conservative
Croydon South	William Mitchell-Thomson	Conservative
Cumberland North	Fergus Graham	Conservative
Darlington	Charles Peat	Conservative
Dartford	Frank Clarke	Conservative
Darwen	Rt Hon. Sir Herbert Samuel	Liberal
Daventry	Rt Hon. Edward FitzRoy	Speaker 
Denbigh	Henry Morris-Jones	Liberal National
Deptford	Denis Hanley	Conservative
Derby 	Rt Hon. J. H. Thomas	National Labour
Derby 	William Allan Reid	Conservative
Derbyshire North East	Jardine Whyte	Conservative
Derbyshire South	Paul Emrys-Evans	Conservative
Derbyshire West	The Marquess of Hartington	Conservative
Devizes	Sir Percy Hurd	Conservative
Dewsbury	Walter Rea	Liberal
Doncaster	Hugh Molson	Conservative
Don Valley	Tom Williams	Labour
Dorset East	Gordon Hall Caine	Conservative
Dorset North	Cecil Hanbury	Conservative
Dorset, South	Viscount Cranborne	Conservative
Dorset West	Philip Colfox	Conservative
Dover	Hon. John Astor	Conservative
Down 	David Reid	Ulster Unionist
Down 	Viscount Castlereagh	Ulster Unionist
Dudley	Dudley Joel	Conservative
Dulwich	Sir Frederick Hall, Bt	Conservative
Dumbarton Burghs	David Kirkwood	Independent Labour
