constituency	name	party
Aberavon	John Morris	Labour
Aberdare	Arthur Probert	Labour
Aberdeen North	Hector Hughes	Labour
Aberdeen South	Lady Tweedsmuir	Conservative
Aberdeenshire East	Patrick Wolrige-Gordon	Conservative
Aberdeenshire West	Forbes Hendry	Conservative
Abertillery	Llywelyn Williams	Labour
Abingdon	Airey Neave	Conservative
Accrington	Henry Hynd	Labour
Acton	Philip Holland	Conservative
Aldershot	Eric Errington	Conservative
Altrincham and Sale	FJ Errol	Conservative
Anglesey	Cledwyn Hughes	Labour
Angus North and Mearns	Colin Thornton-Kemsley	Liberal and Conservative
Angus South	Sir James Duncan, Bt.	Liberal and Conservative
Antrim North	Henry Clark	Ulster Unionist
Antrim South	Knox Cunningham	Ulster Unionist
Argyll	Michael Noble	Conservative
Armagh	John Maginnis	Ulster Unionist
Arundel and Shoreham	Henry Kerby	Conservative
Ashfield	William Warbey	Labour
Ashford	Bill Deedes	Conservative
Ashton-under-Lyne	Hervey Rhodes	Labour
Aylesbury	Spencer Summers	Conservative
Ayr	Sir Thomas Moore, Bt.	Conservative
Ayrshire Central	Archie Manuel	Labour
Ayrshire, North, and Bute	Fitzroy Maclean	Conservative
Ayrshire South	Emrys Hughes	Labour
Banbury	Neil Marten	Conservative
Banffshire	William Duthie	Conservative
Barking	Tom Driberg	Labour
Barkston Ash	Leonard Ropner	Conservative
Barnet	Reginald Maudling	Conservative
Barnsley	Roy Mason	Labour
Barons Court	Bill Carr	Conservative
Barrow-in-Furness	Walter Monslow	Labour
Barry	Raymond Gower	Conservative
Basingstoke	Denzil Freeth	Conservative
Bassetlaw	Fred Bellenger	Labour
Bath	James Pitman	Conservative
Batley and Morley	Alfred Broughton	Labour
Battersea North	Douglas Jay	Labour
Battersea South	Ernest Partridge	Conservative
Bebington	Hendrie Oakshott	Conservative
Beckenham	Philip Goodhart	Conservative
Bedford	Christopher Soames	Conservative
Bedfordshire, Mid	Alan Lennox-Boyd	Conservative
Bedfordshire South	Norman Cole	Liberal and Conservative
Bedwellty	Harold Finch	Labour
Belfast East	Stanley McMaster	Ulster Unionist
Belfast North	Stratton Mills	Ulster Unionist
Belfast South	Sir David Campbell	Ulster Unionist
Belfast West	Patricia McLaughlin	Ulster Unionist
Belper	George Brown	Labour
Bermondsey	Bob Mellish	Labour
Berwick and East Lothian	William Anstruther-Gray	Conservative
Berwick upon Tweed	Antony Lambton	Conservative
Bethnal Green	Percy Holman	Labour
Bexley	Edward Heath	Conservative
Billericay	Edward Gardner	Conservative
Bilston	Robert Edwards	Labour
Birkenhead	Percy Collick	Labour
Birmingham All Saints	John Hollingworth	Conservative
Birmingham Aston	Julius Silverman	Labour
Birmingham Edgbaston	Edith Pitt	Conservative
Birmingham Hall Green	Aubrey Jones	Conservative
Birmingham Handsworth	Sir Edward Boyle	Conservative
Birmingham Ladywood	Victor Yates	Labour
Birmingham Northfield	Donald Chapman	Labour
Birmingham Perry Barr	Charles Howell	Labour
Birmingham Selly Oak	Harold Gurden	Conservative
Birmingham Small Heath	William Wheeldon	Labour
Birmingham Sparkbrook	Leslie Seymour	Conservative
Birmingham Stechford	Roy Jenkins	Labour
Birmingham Yardley	Leonard Cleaver	Conservative
Bishop Auckland	James Boyden	Labour
Blackburn	Barbara Castle	Labour
Blackpool North	Toby Low	Conservative
Blackpool South	Roland Robinson	Conservative
Blaydon	Robert Woof	Labour
Blyth	Alfred Robens	Labour
Bodmin	Douglas Marshall	Conservative
Bolsover	Harold Neal	Labour
Bolton East	Philip Bell	Conservative
Bolton West	Arthur Holt	Liberal
Bootle	Simon Mahon	Labour
Bosworth	Woodrow Wyatt	Labour
Bothwell	John Timmons	Labour
Bournemouth East and Christchurch	John Cordle	Conservative
Bournemouth West	John Eden	Conservative
Bradford East	Frank McLeavy	Labour
Bradford North	William Taylor	Conservative & National Liberal
Bradford South	George Craddock	Labour
Bradford West	Arthur Tiley	Conservative & National Liberal
Brecon and Radnor	Tudor Watkins	Labour
Brentford and Chiswick	Dudley Smith	Conservative
Bridgwater	Gerald Wills	Conservative
Bridlington	Hon. Richard Wood	Conservative
Brierley Hill	J. E. Talbot	Conservative
Brigg	Lance Mallalieu	Labour
Brighouse and Spenborough	John Edwards	Labour
Brighton Kemptown	David James	Conservative
Brighton Pavilion	William Teeling	Conservative
Bristol Central	Stan Awbery	Labour
Bristol North East	Alan Hopkins	Conservative & National Liberal
Bristol North West	Martin McLaren	Conservative
Bristol South	William A. Wilkins	Labour
Bristol South East	Tony Benn	Labour
Bristol West	Robert Cooke	Conservative
Brixton	Marcus Lipton	Labour
Bromley	Harold Macmillan	Conservative
Bromsgrove	James Dance	Conservative
Buckingham	Frank Markham	Conservative
Buckinghamshire South	Ronald Bell	Conservative
Burnley	Daniel Jones	Labour
Burton	John Jennings	Conservative
Bury and Radcliffe	John Bidgood	Conservative
Bury St Edmunds	William Aitken	Conservative
Caernarfon	Goronwy Roberts	Labour
Caerphilly	Ness Edwards	Labour
Caithness and Sutherland	David Robertson	Independent Conservative
Cambridge	Hamilton Kerr	Conservative
Cambridgeshire	Gerald Howard	Conservative
Cannock	Jennie Lee	Labour
Canterbury	Leslie Thomas	Conservative
Cardiff North	Donald Box	Conservative
Cardiff South East	James Callaghan	Labour
Cardiff West	George Thomas	Labour
Cardiganshire	Roderic Bowen	Liberal
Carlisle	Donald Johnson	Conservative
Carlton	Kenneth Pickthorn	Conservative
Carmarthen	Lady Megan Lloyd George	Labour
Carshalton	Antony Head	Conservative
Cheadle	William Shepherd	Conservative
Chelmsford	Hubert Ashton	Conservative
Chelsea	John Litchfield	Conservative
Cheltenham	W. W. Hicks Beach	Conservative
Chertsey	Lionel Heald	Conservative
Chester, City of	John Temple	Conservative
Chesterfield	George Benson	Labour
Chester-le-Street	Norman Pentland	Labour
Chichester	Walter Loveys	Conservative
Chigwell	John Biggs-Davison	Conservative
Chippenham	David Eccles	Conservative
Chislehurst	Patricia Hornsby-Smith	Conservative
Chorley	Clifford Kenyon	Labour
Cirencester and Tewkesbury	Hon. Nicholas Ridley	Conservative
Cities of London and Westminster	Harry Hylton-Foster	Conservative
Clapham	Alan Glyn	Conservative
Cleveland	Wilfred Proudfoot	Conservative
Clitheroe	Francis Pearson	Conservative
Coatbridge and Airdrie	James Dempsey	Labour
Colchester	Cuthbert Alport	Conservative
Colne Valley	Glenvil Hall	Labour
Consett	William Stones	Labour
Conway	Peter Thomas	Conservative
Cornwall, North	James Scott-Hopkins	Conservative
Coventry East	Richard Crossman	Labour
Coventry North	Maurice Edelman	Labour
Coventry South	Philip Hocking	Conservative
Crewe	Scholefield Allen	Labour
Crosby	Graham Page	Conservative
Croydon North-East	John Hughes-Hallett	Conservative
Croydon North-West	Fred Harris	Conservative
Croydon South	Richard Thompson	Conservative
Dagenham	John Parker	Labour
Darlington	Anthony Bourne-Arton	Conservative
Dartford	Sydney Irving	Labour
Darwen	Charles Fletcher-Cooke	Conservative
Dearne Valley	Edwin Wainwright	Labour
Denbigh	Geraint Morgan	Conservative
Deptford	Sir Leslie Plummer	Labour
Derby North	Clifford Wilcock	Labour
Derby South	Philip Noel-Baker	Labour
Derbyshire North East	Thomas Swain	Labour
Derbyshire South East	John Jackson	Conservative
Derbyshire West	Edward Wakefield	Conservative
Devizes	Percivall Pott	Conservative
Devon, North	Jeremy Thorpe	Liberal
Dewsbury	David Ginsburg	Labour
Don Valley	Richard Kelley	Labour
Doncaster	Anthony Barber	Conservative
Dorking	Sir Gordon Touche	Conservative
Dorset North	Sir Richard Glyn	Conservative
Dorset South	Victor Montagu	Conservative
Dorset West	Simon Wingfield Digby	Conservative
Dover	John Arbuthnot	Conservative
Down North	George Currie	Ulster Unionist
Down South	Lawrence Orr	Ulster Unionist
Dudley	George Wigg	Labour
Dulwich	Robert Jenkins	Conservative
Dumfriesshire	Major Niall Macpherson	National Liberal and Conservative
Dunbartonshire East	Cyril Bence	Labour
Dunbartonshire West	Tom Steele	Labour
Dundee East	George Thomson	Labour
Dundee West	John Strachey	Labour
Dunfermline Burghs	Alan Thompson	Labour
Durham	Charles Grey	Labour
Durham North West	William Ainsley	Labour
Ealing North	John Barter	Conservative
Ealing South	Brian Batsford	Conservative
Easington	Manny Shinwell	Labour
East Grinstead	Evelyn Emmet	Conservative
East Ham North	Reg Prentice	Labour
East Ham South	Albert Oram	Labour
Eastbourne	Charles Taylor	Conservative
Eastleigh	David Price	Conservative
Ebbw Vale	Aneurin Bevan	Labour
Eccles	William Proctor	Labour
Edinburgh Central	Thomas Oswald	Labour
Edinburgh East	George Willis	Labour
Edinburgh Leith	James Hoy	Labour
Edinburgh North	William Milligan	Conservative
Edinburgh Pentlands	John Hope	Conservative
Edinburgh South	Michael Hutchison	Conservative
Edinburgh West	Anthony Stodart	Conservative
Edmonton	Austen Albu	Labour
Enfield East	John Mackie	Labour
Enfield West	Iain Macleod	Conservative
Epping	Graeme Finlay	Conservative
Epsom	Peter Rawlinson	Conservative
Erith and Crayford	Norman Dodds	Labour
Esher	William Robson Brown	Conservative
Essex South East	Bernard Braine	Conservative
Eton and Slough	Fenner Brockway	Labour
Exeter	Rolf Dudley-Williams	Conservative
Eye	Harwood Harrison	Conservative
Falmouth and Camborne	Frank Hayman	Labour
Farnham	Godfrey Nicholson	Conservative
Farnworth	Ernest Thornton	Labour
Faversham	Percy Wells	Labour
Feltham	Albert Hunter	Labour
Fermanagh and South Tyrone	Robert Grosvenor	Ulster Unionist
Fife East	Sir James Henderson-Stewart, Bt.	Liberal National
Fife West	Willie Hamilton	Labour
Finchley	Margaret Thatcher	Conservative
Flint East	Eirene White	Labour
Flint West	Nigel Birch	Conservative
Folkestone and Hythe	Albert Costain	Conservative
Fulham	Michael Stewart	Labour
Fylde North	Hon. Richard Stanley	Conservative
Fylde South	Claude Lancaster	Conservative
Gainsborough	Marcus Kimball	Conservative
Galloway	John Brewis	Conservative
Gateshead East	Arthur Moody	Labour
Gateshead West	Harry Randall	Labour
Gillingham	Frederick Burden	Conservative
Glasgow Bridgeton	James Carmichael	Labour
Glasgow Cathcart	John Henderson	Conservative
Glasgow Central	James McInnes	Labour
Glasgow Craigton	Bruce Millan	Labour
Glasgow Gorbals	Alice Cullen	Labour
Glasgow Govan	John Rankin	Labour
Glasgow Hillhead	Tam Galbraith	Conservative
Glasgow Kelvingrove	Frank Lilley	Conservative
Glasgow Maryhill	William Hannan	Labour
Glasgow Pollok	Sir John George	Conservative
Glasgow Provan	William Reid	Labour
Glasgow Scotstoun	William Small	Labour
Glasgow Shettleston	Myer Galpern	Labour
Glasgow Springburn	John Forman	Labour
Glasgow Woodside	William Grant	Conservative
Gloucester	Jack Diamond	Labour
Gloucestershire South	Sir Frederick Corfield	Conservative
Gloucestershire West	Charles Loughlin	Labour
Goole	George Jeger	Labour
Gosport and Fareham	Reginald Bennett	Conservative
Gower	Ifor Davies	Labour
Grantham	Joseph Godber	Conservative
Gravesend	Peter Kirk	Conservative
Greenock	Dickson Mabon	Labour
Greenwich	Richard Marsh	Labour
Grimsby	Anthony Crosland	Labour
Guildford	Richard Nugent	Conservative
Hackney Central	Herbert Butler	Labour
Hackney North and Stoke Newington	David Weitzman	Labour
Halifax	Maurice Macmillan	Conservative
Haltemprice	Patrick Wall	Conservative
Hamilton	Tom Fraser	Labour
Hammersmith North	Frank Tomney	Labour
Hampstead	Henry Brooke	Conservative
Harborough	John Farr	Conservative
Harrogate	James Ramsden	Conservative
Harrow Central	Patrick Bishop	Conservative
Harrow East	Anthony Courtney	Conservative
Harrow West	Sir Albert Braithwaite	Conservative
The Hartlepools	John Kerans	Conservative
Harwich	Julian Ridsdale	Conservative and Nat Lib
Hastings	Neill Cooper-Key	Conservative
Hayes and Harlington	Arthur Skeffington	Labour
Hemel Hempstead	James Allason	Conservative
Hemsworth	Alan Beaney	Labour
Hendon North	Ian Orr-Ewing	Conservative
Hendon South	Hugh Lucas-Tooth	Conservative
Henley	John Hay	Conservative
Hereford	David Gibson-Watt	Conservative
Hertford	Lord Balniel	Conservative
Hertfordshire East	Derek Walker-Smith	Conservative
Hertfordshire South West	Gilbert Longden	Conservative
Heston and Isleworth	Reader Harris	Conservative
Hexham	Rupert Speir	Conservative
Heywood and Royton	Tony Leavey	Conservative
High Peak	Hugh Molson	Conservative
Hitchin	Martin Maddan	Conservative
Holborn and St Pancras South	Geoffrey Johnson-Smith	Conservative
Holland with Boston	Herbert Butcher	Nat Lib & Conservative
Honiton	Robert Mathew	Conservative
Horncastle	John Maitland	Conservative
Hornchurch	Godfrey Lagden	Conservative
Hornsey	Muriel Gammans	Conservative
Horsham	Frederick Gough	Conservative
Houghton-le-Spring	Billy Blyton	Labour
Hove	Anthony Marlowe	Conservative
Howden	Paul Bryan	Conservative
Huddersfield East	Joseph Mallalieu	Labour
Huddersfield West	Donald Wade	Liberal
Huntingdonshire	David Renton	Conservative and Nat Lib
Huyton	Harold Wilson	Labour
Ilford North	Tom Iremonger	Conservative
Ilford South	Albert Cooper	Conservative
Ilkeston	George Oliver	Labour
Ince	Tom Brown	Labour
Inverness	Neil McLean	Conservative
Ipswich	Dingle Foot	Labour
Isle of Ely	Harry Legge-Bourke	Conservative
Isle of Thanet	William Rees-Davies	Conservative
Isle of Wight	Mark Woodnutt	Conservative
Islington East	Sir Eric Fletcher	Labour
Islington North	Gerald Reynolds	Labour
Islington South West	Albert Evans	Labour
Jarrow	Ernest Fernyhough	Labour
Keighley	Marcus Worsley	Conservative
Kensington North	George Rogers	Labour
Kensington South	William Roots	Conservative
Kettering	Dick Mitchison	Labour
Kidderminster	Gerald Nabarro	Conservative
Kilmarnock	Willie Ross	Labour
King's Lynn	Denys Bullard	Conservative
Kingston upon Hull East	Harry Pursey	Labour
Kingston upon Hull North	Michael Coulson	Conservative
Kingston upon Hull West	Mark Hewitson	Labour
Kingston-upon-Thames	John Boyd-Carpenter	Conservative
Kinross and West Perthshire	Gilmour Leburn	Conservative
Kirkcaldy Burghs	Harry Gourlay	Labour
Knutsford	Walter Bromley-Davenport	Conservative
Lanark	Judith Hart	Labour
Lanarkshire North	Margaret Herbison	Labour
Lancaster	Humphry Berkeley	Conservative
Leeds East	Denis Healey	Labour
Leeds North East	Keith Joseph	Conservative
Leeds North West	Donald Kaberry	Conservative
Leeds South	Hugh Gaitskell	Labour
Leeds South East	Alice Bacon	Labour
Leeds West	Charles Pannell	Labour
Leek	Harold Davies	Labour
Leicester North East	Lynn Ungoed-Thomas	Labour
Leicester North West	Barnett Janner	Labour
Leicester South East	John Peel	Conservative
Leicester South West	Herbert Bowden	Labour
Leigh	Harold Boardman	Labour
Leominster	Clive Bossom	Conservative
Lewes	Tufton Beamish	Conservative
Lewisham North	Christopher Chataway	Conservative
Lewisham South	Carol Johnson	Labour
Lewisham West	Henry Price	Conservative
Leyton	Reginald Sorensen	Labour
Lichfield and Tamworth	Julian Snow	Labour
Lincoln	Geoffrey de Freitas	Labour
Liverpool Edge Hill	Arthur Irvine	Labour
Liverpool Exchange	Bessie Braddock	Labour
Liverpool Garston	Richard Bingham	Conservative
Liverpool Kirkdale	Norman Pannell	Conservative
Liverpool Scotland	David Logan	Labour
Liverpool Toxteth	Reginald Bevins	Conservative
Liverpool Walton	Kenneth Thompson	Conservative
Liverpool Wavertree	Sir John Tilney	Conservative
Liverpool West Derby	John Woollam	Conservative
Llanelli	Jim Griffiths	Labour
Londonderry	Robin Chichester-Clark	Ulster Unionist
Loughborough	John Cronin	Labour
Louth	Sir Cyril Osborne	Conservative
Lowestoft	Jim Prior	Conservative
Ludlow	Christopher Holland-Martin	Conservative
Luton	Charles Hill	Liberal and Conservative
Macclesfield	Arthur Vere Harvey	Conservative
Maidstone	John Wells	Conservative
Maldon	Alastair Harrison	Conservative
Manchester Ardwick	Leslie Lever	Labour
Manchester Blackley	Eric Johnson	Conservative
Manchester Cheetham	Harold Lever	Labour
Manchester Exchange	Will Griffiths	Labour
Manchester Gorton	Konni Zilliacus	Labour
Manchester Moss Side	James Watts	Conservative
Manchester Openshaw	William Williams	Labour
Manchester Withington	Sir Robert Cary, Bt.	Conservative
Manchester Wythenshawe	Eveline Hill	Conservative
Mansfield	Bernard Taylor	Labour
Melton	Mervyn Pike	Conservative
Meriden	Gordon Matthews	Conservative
Merioneth	Thomas Jones	Labour
Merthyr Tydfil	S.O. Davies	Labour
Merton and Morden	Humphrey Atkins	Conservative
Middlesbrough East	Hilary Marquand	Labour
Middlesbrough West	Jocelyn Simon	Conservative
Middleton and Prestwich	Sir John Barlow, Bt.	Conservative
Midlothian	James Hill	Labour
Mitcham	Robert Carr	Conservative
Monmouth	Peter Thorneycroft	Conservative
Montgomery	Clement Davies	Liberal
Moray and Nairn	Gordon Campbell	Conservative
Morecambe and Lonsdale	Basil de Ferranti	Conservative
Morpeth	Will Owen	Labour
Motherwell	George Lawson	Labour
Nantwich	Robert Grant-Ferris	Conservative
Neath	D. J. Williams	Labour
Nelson and Colne	Sydney Silverman	Labour
New Forest	Oliver Crosthwaite-Eyre	Conservative
Newark	George Deer	Labour
Newbury	Sir Anthony Hurd	Conservative
Newcastle-under-Lyme	Stephen Swingler	Labour
Newcastle upon Tyne Central	Ted Short	Labour
Newcastle upon Tyne East	Fergus Montgomery	Conservative
Newcastle upon Tyne North	William Elliott	Conservative
Newcastle upon Tyne West	Ernest Popplewell	Labour
Newport	Frank Soskice	Labour
Newton	Frederick Lee	Labour
Norfolk Central	Richard Collard	Conservative & National Liberal
Norfolk North	Edwin Gooch	Labour
Norfolk South	John Hill	Conservative
Norfolk, South West	Albert Hilton	Labour
Normanton	Albert Roberts	Labour
Northampton	Reginald Paget	Labour
Northamptonshire South	Reginald Manningham-Buller	Conservative
Northwich	John Foster	Conservative
Norwich North	John Paton	Labour
Norwich South	Geoffrey Rippon	Conservative
Norwood	John Smyth	Conservative
Nottingham Central	John Cordeaux	Conservative
Nottingham North	William Whitlock	Labour
Nottingham South	William Clark	Conservative
Nottingham West	Peter Tapsell	Conservative
Nuneaton	Frank Bowles	Labour
Ogmore	Walter Padley	Labour
Oldbury and Halesowen	Arthur Moyle	Labour
Oldham East	Charles Mapp	Labour
Oldham West	Leslie Hale	Labour
Orkney and Shetland	Jo Grimond	Liberal
Ormskirk	Douglas Glover	Conservative
Orpington	Donald Sumner	Conservative
Oswestry	Hon. David Ormsby-Gore	Conservative
Oxford	Montague Woodhouse	Conservative
Paddington North	Ben Parkin	Labour
Paddington South	Robert Allan	Conservative
Paisley	Douglas Johnston	Labour
Peckham	Freda Corbet	Labour
Pembrokeshire	Desmond Donnelly	Labour
Penistone	John Mendelson	Labour
Penrith and the Border	William Whitelaw	Conservative
Perth and East Perthshire	Ian MacArthur	Conservative
Peterborough	Harmar Nicholls	Conservative
Petersfield	Hon. Peter Legh	Conservative
Plymouth Devonport	Joan Vickers	Conservative & Nat Liberal
Plymouth Sutton	Ian Fraser	Conservative
Pontefract	George Sylvester	Labour
Pontypool	Leo Abse	Labour
Pontypridd	Arthur Pearson	Labour
Poole	Richard Pilkington	Conservative
Poplar	Charles Key	Labour
Portsmouth Langstone	Geoffrey Stevens	Conservative
Portsmouth South	Jocelyn Lucas	Conservative
Portsmouth West	Terence Clarke	Conservative
Preston North	Julian Amery	Conservative
Preston South	Alan Green	Conservative
Pudsey	Joseph Hiley	Conservative
Putney	Hugh Linstead	Conservative
Reading	Peter Emery	Conservative
Reigate	John Vaughan-Morgan	Conservative
Renfrewshire East	Betty Harvie Anderson	Conservative
Renfrewshire West	John Maclay	Liberal and Conservative
Rhondda East	Elfed Davies	Labour
Rhondda West	Iorwerth Thomas	Labour
Richmond 	Anthony Royle	Conservative
Richmond 	Timothy Kitson	Conservative
Ripon	Malcolm Stoddart-Scott	Conservative
Rochdale	Jack McCann	Labour
Rochester and Chatham	Julian Critchley	Conservative
Romford	Ron Ledger	Labour
Ross and Cromarty	Capt. John MacLeod	National Liberal
Rossendale	Tony Greenwood	Labour
Rother Valley	David Griffiths	Labour
Rotherham	Jack Jones	Labour
Rowley Regis and Tipton	Arthur Henderson	Labour
Roxburgh, Selkirk and Peebles	Charles Donaldson	Conservative
Rugby	Roy Wise	Conservative
Ruislip-Northwood	Petre Crowder	Conservative
Runcorn	Dennis Vosper	Conservative
Rushcliffe	Martin Redmayne	Conservative
Rutherglen	Richard Brooman-White	Conservative
Rutland and Stamford	Kenneth Lewis	Conservative
Rye	Godman Irvine	Conservative
Saffron Walden	Rab Butler	Conservative
St Albans	Victor Goodhew	Conservative
St Helens	Leslie Spriggs	Labour
St Ives	Hon. Greville Howard	Nat Lib and Conservative
St Marylebone	Wavell Wakefield	Conservative
St Pancras North	Kenneth Robinson	Labour
Salford East	Frank Allaun	Labour
Salford West	Charles Royle	Labour
